EntityID,TemporalPropertyID,TimeStamp,TemporalPropertyValue
1,1,8,12.9
1,1,9,12.9
1,1,10,12.9
1,1,12,12.9
1,1,14,12.9
1,1,15,12.9
1,1,16,12.9
1,1,18,25.8
1,1,19,12.9
1,1,21,12.9
1,1,22,25.8
1,1,23,25.8
1,1,24,25.8
1,1,25,25.8
1,1,26,25.8
1,1,27,38.7
1,1,28,25.8
1,1,29,25.8
1,1,30,25.8
1,1,31,25.8
1,1,32,25.8
1,1,34,25.8
1,1,36,51.6
1,1,39,25.8
1,1,42,25.8
1,1,44,25.8
1,1,45,25.8
1,1,47,25.8
1,1,49,25.8
1,2,1,39.9
1,2,2,39.9
1,2,3,39.9
1,2,4,39.9
1,2,5,39.9
1,2,12,10.05
1,2,13,10.05
1,2,14,10.05
1,2,15,20.1
1,2,16,20.1
1,2,18,40.2
1,2,19,20.1
1,2,21,20.1
1,2,23,20.1
1,2,24,20.1
1,2,26,20.1
1,2,27,20.1
1,2,28,20.1
1,2,29,20.1
1,2,30,20.1
1,2,31,20.1
1,2,32,20.1
1,2,33,20.1
1,2,34,20.1
1,2,35,20.1
1,2,36,40.2
1,2,37,20.1
1,2,39,20.1
1,2,40,20.1
1,2,41,40.2
1,2,42,20.1
1,2,43,20.1
1,2,44,20.1
1,2,45,20.1
1,2,46,20.1
1,2,47,20.1
1,2,49,20.1
1,2,50,20.1
1,2,51,40.2
1,2,53,20.1
1,3,1,40.2
1,3,2,40.2
1,3,3,40.2
1,3,4,40.2
1,3,5,60.2
1,3,6,70.2
1,3,7,20
1,3,8,60
1,3,9,30
1,3,11,30
1,3,12,40
1,3,14,30
1,3,15,30
1,3,16,30
1,3,17,60
1,3,18,30
1,3,19,30
1,3,21,90
1,3,22,30
1,3,24,30
1,3,25,60
1,3,26,30
1,3,27,30
1,3,28,30
1,3,29,30
1,3,30,30
1,3,31,30
1,3,33,30
1,3,34,30
1,3,35,30
1,3,36,30
1,3,37,30
1,3,39,30
1,3,40,30
1,3,41,60
1,3,42,30
1,3,43,30
1,3,44,30
1,3,45,60
1,3,46,30
1,3,47,30
1,3,49,30
1,3,50,30
1,3,51,30
1,3,52,30
1,3,53,30
1,4,1,30
1,4,2,30
1,4,3,30
1,4,4,30
1,4,5,30
1,4,6,45
1,4,7,45
1,4,8,30
1,4,9,30
1,4,11,30
1,4,12,30
1,4,13,30
1,4,15,60
1,4,16,30
1,4,18,60
1,4,19,30
1,4,20,30
1,4,21,60
1,4,22,60
1,4,23,60
1,4,24,30
1,4,25,90
1,4,26,60
1,4,27,60
1,4,28,60
1,4,29,60
1,4,30,60
1,4,31,60
1,4,32,60
1,4,33,30
1,4,34,90
1,4,35,60
1,4,36,90
1,4,37,58
1,4,39,60
1,4,40,58
1,4,41,90
1,4,42,60
1,4,43,58
1,4,44,58
1,4,45,58
1,4,46,60
1,4,47,60
1,4,48,9.9
1,4,49,39.9
1,4,50,60
1,4,51,30
1,4,52,30
1,5,36,39.9
1,5,37,39.9
1,5,39,39.9
1,5,41,39.9
1,5,42,39.9
1,5,43,39.9
1,5,44,39.9
1,5,45,39.9
1,5,46,39.9
1,5,47,39.9
1,5,49,74.48
1,5,50,37.24
1,5,51,38.57
1,6,5,40
1,6,6,120
1,6,7,90
1,6,8,90
1,6,9,90
1,6,10,90
1,6,11,90
1,6,12,105
1,6,13,105
1,6,14,90
1,6,15,90
1,6,16,120
1,6,17,120
1,6,18,240
1,6,19,120
1,6,20,120
1,6,21,120
1,6,22,60
1,6,23,60
1,6,24,120
1,6,25,240
1,6,26,60
1,6,27,120
1,6,28,120
1,6,29,120
1,6,30,120
1,6,31,120
1,6,32,120
1,6,33,120
1,6,34,60
1,6,35,60
1,6,36,240
1,6,37,120
