StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,Persist5,1,Low,0.43,12.9
2,1,Diabetes,Persist5,2,Medium1,12.9,15
3,1,Diabetes,Persist5,3,Medium2,15,15.6
4,1,Diabetes,Persist5,4,Medium3,15.6,25.8
5,1,Diabetes,Persist5,5,High,25.8,242.4
6,2,BetaBlockers,Persist5,1,Low,0.33,9.9
7,2,BetaBlockers,Persist5,2,Medium1,9.9,20.1
8,2,BetaBlockers,Persist5,3,Medium2,20.1,25
9,2,BetaBlockers,Persist5,4,Medium3,25,35.56
10,2,BetaBlockers,Persist5,5,High,35.56,239.4
11,3,CCB,Persist5,1,Low,1,15.3
12,3,CCB,Persist5,2,Medium1,15.3,22.5
13,3,CCB,Persist5,3,Medium2,22.5,30
14,3,CCB,Persist5,4,Medium3,30,30
15,3,CCB,Persist5,5,High,30,270
16,4,Other,Persist5,1,Low,0.5,21
17,4,Other,Persist5,2,Medium1,21,28
18,4,Other,Persist5,3,Medium2,28,28
19,4,Other,Persist5,4,Medium3,28,28
20,4,Other,Persist5,5,High,28,377.2
21,5,Statins,Persist5,1,Low,0.67,20.1
22,5,Statins,Persist5,2,Medium1,20.1,20.1
23,5,Statins,Persist5,3,Medium2,20.1,79.95
24,5,Statins,Persist5,4,Medium3,79.95,80.1
25,5,Statins,Persist5,5,High,80.1,500.1
26,6,Ace,Persist5,1,Low,2.5,15
27,6,Ace,Persist5,2,Medium1,15,15.2250000000004
28,6,Ace,Persist5,3,Medium2,15.2250000000004,28
29,6,Ace,Persist5,4,Medium3,28,30
30,6,Ace,Persist5,5,High,30,373.52
31,39,HBA1C_FULL,Persist5,1,Low,3.9,5.5
32,39,HBA1C_FULL,Persist5,2,Medium1,5.5,5.7
33,39,HBA1C_FULL,Persist5,3,Medium2,5.7,5.9
34,39,HBA1C_FULL,Persist5,4,Medium3,5.9,10.9
35,39,HBA1C_FULL,Persist5,5,High,10.9,222.7
36,40,LDL_FULL,Persist5,1,Low,2.8,63
37,40,LDL_FULL,Persist5,2,Medium1,63,144
38,40,LDL_FULL,Persist5,3,Medium2,144,153.89999
39,40,LDL_FULL,Persist5,4,Medium3,153.89999,168
40,40,LDL_FULL,Persist5,5,High,168,328.39999
41,41,Cholesterol_FULL,Persist5,1,Low,64,135
42,41,Cholesterol_FULL,Persist5,2,Medium1,135,236
43,41,Cholesterol_FULL,Persist5,3,Medium2,236,248
44,41,Cholesterol_FULL,Persist5,4,Medium3,248,265
45,41,Cholesterol_FULL,Persist5,5,High,265,557
46,42,Glucose_FULL,Persist5,1,Low,28,81
47,42,Glucose_FULL,Persist5,2,Medium1,81,87
48,42,Glucose_FULL,Persist5,3,Medium2,87,93
49,42,Glucose_FULL,Persist5,4,Medium3,93,98
50,42,Glucose_FULL,Persist5,5,High,98,1453
51,43,Albumin_FULL,Persist5,1,Low,2,3.6
52,43,Albumin_FULL,Persist5,2,Medium1,3.6,3.75
53,43,Albumin_FULL,Persist5,3,Medium2,3.75,4.6
54,43,Albumin_FULL,Persist5,4,Medium3,4.6,4.7
55,43,Albumin_FULL,Persist5,5,High,4.7,5.8
56,44,Creatinine_FULL,Persist5,1,Low,0.2,0.56
57,44,Creatinine_FULL,Persist5,2,Medium1,0.56,0.62
58,44,Creatinine_FULL,Persist5,3,Medium2,0.62,0.67
59,44,Creatinine_FULL,Persist5,4,Medium3,0.67,1.36
60,44,Creatinine_FULL,Persist5,5,High,1.36,15.4
