StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Cos3,1,Low,0.43,25.8
2,1,Diabetes,TD4C_Cos3,2,Medium,25.8,37.5
3,1,Diabetes,TD4C_Cos3,3,High,37.5,242.4
4,2,BetaBlockers,TD4C_Cos3,1,Low,0.33,17.64
5,2,BetaBlockers,TD4C_Cos3,2,Medium,17.64,37.24
6,2,BetaBlockers,TD4C_Cos3,3,High,37.24,239.4
7,3,CCB,TD4C_Cos3,1,Low,1,30
8,3,CCB,TD4C_Cos3,2,Medium,30,40.2
9,3,CCB,TD4C_Cos3,3,High,40.2,270
10,4,Other,TD4C_Cos3,1,Low,0.5,30
11,4,Other,TD4C_Cos3,2,Medium,30,33.75
12,4,Other,TD4C_Cos3,3,High,33.75,377.2
13,5,Statins,TD4C_Cos3,1,Low,0.67,37.24
14,5,Statins,TD4C_Cos3,2,Medium,37.24,40.05
15,5,Statins,TD4C_Cos3,3,High,40.05,500.1
16,6,Ace,TD4C_Cos3,1,Low,2.5,30
17,6,Ace,TD4C_Cos3,2,Medium,30,45
18,6,Ace,TD4C_Cos3,3,High,45,373.52
19,39,HBA1C_FULL,TD4C_Cos3,1,Low,3.9,5.9
20,39,HBA1C_FULL,TD4C_Cos3,2,Medium,5.9,7.1
21,39,HBA1C_FULL,TD4C_Cos3,3,High,7.1,222.7
22,40,LDL_FULL,TD4C_Cos3,1,Low,2.8,79
23,40,LDL_FULL,TD4C_Cos3,2,Medium,79,111.2
24,40,LDL_FULL,TD4C_Cos3,3,High,111.2,328.39999
25,41,Cholesterol_FULL,TD4C_Cos3,1,Low,64,186
26,41,Cholesterol_FULL,TD4C_Cos3,2,Medium,186,213
27,41,Cholesterol_FULL,TD4C_Cos3,3,High,213,557
28,42,Glucose_FULL,TD4C_Cos3,1,Low,28,101
29,42,Glucose_FULL,TD4C_Cos3,2,Medium,101,142
30,42,Glucose_FULL,TD4C_Cos3,3,High,142,1453
31,43,Albumin_FULL,TD4C_Cos3,1,Low,2,4
32,43,Albumin_FULL,TD4C_Cos3,2,Medium,4,4.14
33,43,Albumin_FULL,TD4C_Cos3,3,High,4.14,5.8
34,44,Creatinine_FULL,TD4C_Cos3,1,Low,0.2,0.9
35,44,Creatinine_FULL,TD4C_Cos3,2,Medium,0.9,0.98
36,44,Creatinine_FULL,TD4C_Cos3,3,High,0.98,15.4
