StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Cos5,1,Low,0.43,15
2,1,Diabetes,TD4C_Cos5,2,Medium1,15,25.8
3,1,Diabetes,TD4C_Cos5,3,Medium2,25.8,27.9
4,1,Diabetes,TD4C_Cos5,4,Medium3,27.9,37.5
5,1,Diabetes,TD4C_Cos5,5,High,37.5,242.4
6,2,BetaBlockers,TD4C_Cos5,1,Low,0.33,17.64
7,2,BetaBlockers,TD4C_Cos5,2,Medium1,17.64,25
8,2,BetaBlockers,TD4C_Cos5,3,Medium2,25,37.24
9,2,BetaBlockers,TD4C_Cos5,4,Medium3,37.24,39.9
10,2,BetaBlockers,TD4C_Cos5,5,High,39.9,239.4
11,3,CCB,TD4C_Cos5,1,Low,1,30
12,3,CCB,TD4C_Cos5,2,Medium1,30,30
13,3,CCB,TD4C_Cos5,3,Medium2,30,40.2
14,3,CCB,TD4C_Cos5,4,Medium3,40.2,60
15,3,CCB,TD4C_Cos5,5,High,60,270
16,4,Other,TD4C_Cos5,1,Low,0.5,21
17,4,Other,TD4C_Cos5,2,Medium1,21,28
18,4,Other,TD4C_Cos5,3,Medium2,28,30
19,4,Other,TD4C_Cos5,4,Medium3,30,33.75
20,4,Other,TD4C_Cos5,5,High,33.75,377.2
21,5,Statins,TD4C_Cos5,1,Low,0.67,30
22,5,Statins,TD4C_Cos5,2,Medium1,30,37.24
23,5,Statins,TD4C_Cos5,3,Medium2,37.24,40.05
24,5,Statins,TD4C_Cos5,4,Medium3,40.05,79.95
25,5,Statins,TD4C_Cos5,5,High,79.95,500.1
26,6,Ace,TD4C_Cos5,1,Low,2.5,15
27,6,Ace,TD4C_Cos5,2,Medium1,15,22.5
28,6,Ace,TD4C_Cos5,3,Medium2,22.5,30
29,6,Ace,TD4C_Cos5,4,Medium3,30,45
30,6,Ace,TD4C_Cos5,5,High,45,373.52
31,39,HBA1C_FULL,TD4C_Cos5,1,Low,3.9,5.9
32,39,HBA1C_FULL,TD4C_Cos5,2,Medium1,5.9,6.4
33,39,HBA1C_FULL,TD4C_Cos5,3,Medium2,6.4,7.1
34,39,HBA1C_FULL,TD4C_Cos5,4,Medium3,7.1,7.94
35,39,HBA1C_FULL,TD4C_Cos5,5,High,7.94,222.7
36,40,LDL_FULL,TD4C_Cos5,1,Low,2.8,79
37,40,LDL_FULL,TD4C_Cos5,2,Medium1,79,102
38,40,LDL_FULL,TD4C_Cos5,3,Medium2,102,111.2
39,40,LDL_FULL,TD4C_Cos5,4,Medium3,111.2,128.8
40,40,LDL_FULL,TD4C_Cos5,5,High,128.8,328.39999
41,41,Cholesterol_FULL,TD4C_Cos5,1,Low,64,153
42,41,Cholesterol_FULL,TD4C_Cos5,2,Medium1,153,172
43,41,Cholesterol_FULL,TD4C_Cos5,3,Medium2,172,186
44,41,Cholesterol_FULL,TD4C_Cos5,4,Medium3,186,213
45,41,Cholesterol_FULL,TD4C_Cos5,5,High,213,557
46,42,Glucose_FULL,TD4C_Cos5,1,Low,28,101
47,42,Glucose_FULL,TD4C_Cos5,2,Medium1,101,125
48,42,Glucose_FULL,TD4C_Cos5,3,Medium2,125,142
49,42,Glucose_FULL,TD4C_Cos5,4,Medium3,142,166
50,42,Glucose_FULL,TD4C_Cos5,5,High,166,1453
51,43,Albumin_FULL,TD4C_Cos5,1,Low,2,4
52,43,Albumin_FULL,TD4C_Cos5,2,Medium1,4,4.14
53,43,Albumin_FULL,TD4C_Cos5,3,Medium2,4.14,4.24
54,43,Albumin_FULL,TD4C_Cos5,4,Medium3,4.24,4.41
55,43,Albumin_FULL,TD4C_Cos5,5,High,4.41,5.8
56,44,Creatinine_FULL,TD4C_Cos5,1,Low,0.2,0.78
57,44,Creatinine_FULL,TD4C_Cos5,2,Medium1,0.78,0.84
58,44,Creatinine_FULL,TD4C_Cos5,3,Medium2,0.84,0.9
59,44,Creatinine_FULL,TD4C_Cos5,4,Medium3,0.9,0.98
60,44,Creatinine_FULL,TD4C_Cos5,5,High,0.98,15.4
