StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Ent3,1,Low,0.43,37.5
2,1,Diabetes,TD4C_Ent3,2,Medium,37.5,51.6
3,1,Diabetes,TD4C_Ent3,3,High,51.6,242.4
4,2,BetaBlockers,TD4C_Ent3,1,Low,0.33,39.9
5,2,BetaBlockers,TD4C_Ent3,2,Medium,39.9,40.2
6,2,BetaBlockers,TD4C_Ent3,3,High,40.2,239.4
7,3,CCB,TD4C_Ent3,1,Low,1,15.348
8,3,CCB,TD4C_Ent3,2,Medium,15.348,30
9,3,CCB,TD4C_Ent3,3,High,30,270
10,4,Other,TD4C_Ent3,1,Low,0.5,60.7360000000001
11,4,Other,TD4C_Ent3,2,Medium,60.7360000000001,90
12,4,Other,TD4C_Ent3,3,High,90,377.2
13,5,Statins,TD4C_Ent3,1,Low,0.67,20.1
14,5,Statins,TD4C_Ent3,2,Medium,20.1,79.95
15,5,Statins,TD4C_Ent3,3,High,79.95,500.1
16,6,Ace,TD4C_Ent3,1,Low,2.5,112
17,6,Ace,TD4C_Ent3,2,Medium,112,120
18,6,Ace,TD4C_Ent3,3,High,120,373.52
19,39,HBA1C_FULL,TD4C_Ent3,1,Low,3.9,9
20,39,HBA1C_FULL,TD4C_Ent3,2,Medium,9,10.9
21,39,HBA1C_FULL,TD4C_Ent3,3,High,10.9,222.7
22,40,LDL_FULL,TD4C_Ent3,1,Low,2.8,137
23,40,LDL_FULL,TD4C_Ent3,2,Medium,137,144
24,40,LDL_FULL,TD4C_Ent3,3,High,144,328.39999
25,41,Cholesterol_FULL,TD4C_Ent3,1,Low,64,135
26,41,Cholesterol_FULL,TD4C_Ent3,2,Medium,135,153
27,41,Cholesterol_FULL,TD4C_Ent3,3,High,153,557
28,42,Glucose_FULL,TD4C_Ent3,1,Low,28,211
29,42,Glucose_FULL,TD4C_Ent3,2,Medium,211,262
30,42,Glucose_FULL,TD4C_Ent3,3,High,262,1453
31,43,Albumin_FULL,TD4C_Ent3,1,Low,2,3.69
32,43,Albumin_FULL,TD4C_Ent3,2,Medium,3.69,3.81
33,43,Albumin_FULL,TD4C_Ent3,3,High,3.81,5.8
34,44,Creatinine_FULL,TD4C_Ent3,1,Low,0.2,1.15
35,44,Creatinine_FULL,TD4C_Ent3,2,Medium,1.15,1.36
36,44,Creatinine_FULL,TD4C_Ent3,3,High,1.36,15.4
