StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_KL5,1,Low,0.43,12.9
2,1,Diabetes,TD4C_KL5,2,Medium1,12.9,12.9
3,1,Diabetes,TD4C_KL5,3,Medium2,12.9,25.8
4,1,Diabetes,TD4C_KL5,4,Medium3,25.8,61.2
5,1,Diabetes,TD4C_KL5,5,High,61.2,242.4
6,2,BetaBlockers,TD4C_KL5,1,Low,0.33,9.9
7,2,BetaBlockers,TD4C_KL5,2,Medium1,9.9,9.9
8,2,BetaBlockers,TD4C_KL5,3,Medium2,9.9,39.9
9,2,BetaBlockers,TD4C_KL5,4,Medium3,39.9,40.2
10,2,BetaBlockers,TD4C_KL5,5,High,40.2,239.4
11,3,CCB,TD4C_KL5,1,Low,1,15.3
12,3,CCB,TD4C_KL5,2,Medium1,15.3,20.1
13,3,CCB,TD4C_KL5,3,Medium2,20.1,30
14,3,CCB,TD4C_KL5,4,Medium3,30,30
15,3,CCB,TD4C_KL5,5,High,30,270
16,4,Other,TD4C_KL5,1,Low,0.5,21
17,4,Other,TD4C_KL5,2,Medium1,21,33.75
18,4,Other,TD4C_KL5,3,Medium2,33.75,48
19,4,Other,TD4C_KL5,4,Medium3,48,60.7360000000001
20,4,Other,TD4C_KL5,5,High,60.7360000000001,377.2
21,5,Statins,TD4C_KL5,1,Low,0.67,20.1
22,5,Statins,TD4C_KL5,2,Medium1,20.1,20.1
23,5,Statins,TD4C_KL5,3,Medium2,20.1,30
24,5,Statins,TD4C_KL5,4,Medium3,30,37.24
25,5,Statins,TD4C_KL5,5,High,37.24,500.1
26,6,Ace,TD4C_KL5,1,Low,2.5,22.5
27,6,Ace,TD4C_KL5,2,Medium1,22.5,30
28,6,Ace,TD4C_KL5,3,Medium2,30,45
29,6,Ace,TD4C_KL5,4,Medium3,45,120
30,6,Ace,TD4C_KL5,5,High,120,373.52
31,39,HBA1C_FULL,TD4C_KL5,1,Low,3.9,5.9
32,39,HBA1C_FULL,TD4C_KL5,2,Medium1,5.9,6.4
33,39,HBA1C_FULL,TD4C_KL5,3,Medium2,6.4,7.7
34,39,HBA1C_FULL,TD4C_KL5,4,Medium3,7.7,10.6
35,39,HBA1C_FULL,TD4C_KL5,5,High,10.6,222.7
36,40,LDL_FULL,TD4C_KL5,1,Low,2.8,70
37,40,LDL_FULL,TD4C_KL5,2,Medium1,70,102
38,40,LDL_FULL,TD4C_KL5,3,Medium2,102,137
39,40,LDL_FULL,TD4C_KL5,4,Medium3,137,156
40,40,LDL_FULL,TD4C_KL5,5,High,156,328.39999
41,41,Cholesterol_FULL,TD4C_KL5,1,Low,64,149
42,41,Cholesterol_FULL,TD4C_KL5,2,Medium1,149,163
43,41,Cholesterol_FULL,TD4C_KL5,3,Medium2,163,207
44,41,Cholesterol_FULL,TD4C_KL5,4,Medium3,207,254
45,41,Cholesterol_FULL,TD4C_KL5,5,High,254,557
46,42,Glucose_FULL,TD4C_KL5,1,Low,28,101
47,42,Glucose_FULL,TD4C_KL5,2,Medium1,101,138
48,42,Glucose_FULL,TD4C_KL5,3,Medium2,138,181
49,42,Glucose_FULL,TD4C_KL5,4,Medium3,181,250
50,42,Glucose_FULL,TD4C_KL5,5,High,250,1453
51,43,Albumin_FULL,TD4C_KL5,1,Low,2,3.6
52,43,Albumin_FULL,TD4C_KL5,2,Medium1,3.6,4.03
53,43,Albumin_FULL,TD4C_KL5,3,Medium2,4.03,4.1
54,43,Albumin_FULL,TD4C_KL5,4,Medium3,4.1,4.41
55,43,Albumin_FULL,TD4C_KL5,5,High,4.41,5.8
56,44,Creatinine_FULL,TD4C_KL5,1,Low,0.2,0.59
57,44,Creatinine_FULL,TD4C_KL5,2,Medium1,0.59,0.96
58,44,Creatinine_FULL,TD4C_KL5,3,Medium2,0.96,1.08
59,44,Creatinine_FULL,TD4C_KL5,4,Medium3,1.08,1.28
60,44,Creatinine_FULL,TD4C_KL5,5,High,1.28,15.4
