StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,EQW3,1,Low,0.43,81.0866666666667
2,1,Diabetes,EQW3,2,Medium,81.0866666666667,161.743333333333
3,1,Diabetes,EQW3,3,High,161.743333333333,242.4
4,2,BetaBlockers,EQW3,1,Low,0.33,80.02
5,2,BetaBlockers,EQW3,2,Medium,80.02,159.71
6,2,BetaBlockers,EQW3,3,High,159.71,239.4
7,3,CCB,EQW3,1,Low,1,80.6666666666667
8,3,CCB,EQW3,2,Medium,80.6666666666667,160.333333333333
9,3,CCB,EQW3,3,High,160.333333333333,240
10,4,Other,EQW3,1,Low,0.5,126.066666666667
11,4,Other,EQW3,2,Medium,126.066666666667,251.633333333333
12,4,Other,EQW3,3,High,251.633333333333,377.2
13,5,Statins,EQW3,1,Low,0.67,167.146666666667
14,5,Statins,EQW3,2,Medium,167.146666666667,333.623333333333
15,5,Statins,EQW3,3,High,333.623333333333,500.1
16,6,Ace,EQW3,1,Low,2.5,126.173333333333
17,6,Ace,EQW3,2,Medium,126.173333333333,249.846666666667
18,6,Ace,EQW3,3,High,249.846666666667,373.52
19,39,HBA1C_FULL,EQW3,1,Low,3.9,76.8333333333333
20,39,HBA1C_FULL,EQW3,2,Medium,76.8333333333333,149.766666666667
21,39,HBA1C_FULL,EQW3,3,High,149.766666666667,222.7
22,40,LDL_FULL,EQW3,1,Low,2.8,111.33333
23,40,LDL_FULL,EQW3,2,Medium,111.33333,219.86666
24,40,LDL_FULL,EQW3,3,High,219.86666,328.39999
25,41,Cholesterol_FULL,EQW3,1,Low,64,228.333333333333
26,41,Cholesterol_FULL,EQW3,2,Medium,228.333333333333,392.666666666667
27,41,Cholesterol_FULL,EQW3,3,High,392.666666666667,557
28,42,Glucose_FULL,EQW3,1,Low,28,286
29,42,Glucose_FULL,EQW3,2,Medium,286,544
30,42,Glucose_FULL,EQW3,3,High,544,802
31,43,Albumin_FULL,EQW3,1,Low,2,3.26666666666667
32,43,Albumin_FULL,EQW3,2,Medium,3.26666666666667,4.53333333333333
33,43,Albumin_FULL,EQW3,3,High,4.53333333333333,5.8
34,44,Creatinine_FULL,EQW3,1,Low,0.28,4.12
35,44,Creatinine_FULL,EQW3,2,Medium,4.12,7.96
36,44,Creatinine_FULL,EQW3,3,High,7.96,11.8
