StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,Persist3,1,Low,0.43,12.9
2,1,Diabetes,Persist3,2,Medium,12.9,15
3,1,Diabetes,Persist3,3,High,15,242.4
4,2,BetaBlockers,Persist3,1,Low,0.33,7.5
5,2,BetaBlockers,Persist3,2,Medium,7.5,9.9
6,2,BetaBlockers,Persist3,3,High,9.9,239.4
7,3,CCB,Persist3,1,Low,1,15.3
8,3,CCB,Persist3,2,Medium,15.3,22.5
9,3,CCB,Persist3,3,High,22.5,240
10,4,Other,Persist3,1,Low,0.5,21
11,4,Other,Persist3,2,Medium,21,28
12,4,Other,Persist3,3,High,28,377.2
13,5,Statins,Persist3,1,Low,0.67,20.1
14,5,Statins,Persist3,2,Medium,20.1,30
15,5,Statins,Persist3,3,High,30,500.1
16,6,Ace,Persist3,1,Low,2.5,15
17,6,Ace,Persist3,2,Medium,15,18.76
18,6,Ace,Persist3,3,High,18.76,373.52
19,39,HBA1C_FULL,Persist3,1,Low,3.9,5.5
20,39,HBA1C_FULL,Persist3,2,Medium,5.5,10.5
21,39,HBA1C_FULL,Persist3,3,High,10.5,222.7
22,40,LDL_FULL,Persist3,1,Low,2.8,63
23,40,LDL_FULL,Persist3,2,Medium,63,167
24,40,LDL_FULL,Persist3,3,High,167,328.39999
25,41,Cholesterol_FULL,Persist3,1,Low,64,135
26,41,Cholesterol_FULL,Persist3,2,Medium,135,264
27,41,Cholesterol_FULL,Persist3,3,High,264,557
28,42,Glucose_FULL,Persist3,1,Low,28,82
29,42,Glucose_FULL,Persist3,2,Medium,82,88
30,42,Glucose_FULL,Persist3,3,High,88,802
31,43,Albumin_FULL,Persist3,1,Low,2,3.6
32,43,Albumin_FULL,Persist3,2,Medium,3.6,3.8
33,43,Albumin_FULL,Persist3,3,High,3.8,5.8
34,44,Creatinine_FULL,Persist3,1,Low,0.28,0.58
35,44,Creatinine_FULL,Persist3,2,Medium,0.58,1.4
36,44,Creatinine_FULL,Persist3,3,High,1.4,11.8
