StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,Persist5,1,Low,0.43,12.9
2,1,Diabetes,Persist5,2,Medium1,12.9,15
3,1,Diabetes,Persist5,3,Medium2,15,15.3
4,1,Diabetes,Persist5,4,Medium3,15.3,25.8
5,1,Diabetes,Persist5,5,High,25.8,242.4
6,2,BetaBlockers,Persist5,1,Low,0.33,7.5
7,2,BetaBlockers,Persist5,2,Medium1,7.5,9.9
8,2,BetaBlockers,Persist5,3,Medium2,9.9,9.9
9,2,BetaBlockers,Persist5,4,Medium3,9.9,9.9
10,2,BetaBlockers,Persist5,5,High,9.9,239.4
11,3,CCB,Persist5,1,Low,1,15.3
12,3,CCB,Persist5,2,Medium1,15.3,22.5
13,3,CCB,Persist5,3,Medium2,22.5,30
14,3,CCB,Persist5,4,Medium3,30,30
15,3,CCB,Persist5,5,High,30,240
16,4,Other,Persist5,1,Low,0.5,21
17,4,Other,Persist5,2,Medium1,21,28
18,4,Other,Persist5,3,Medium2,28,28
19,4,Other,Persist5,4,Medium3,28,28
20,4,Other,Persist5,5,High,28,377.2
21,5,Statins,Persist5,1,Low,0.67,20.1
22,5,Statins,Persist5,2,Medium1,20.1,20.1
23,5,Statins,Persist5,3,Medium2,20.1,30
24,5,Statins,Persist5,4,Medium3,30,37.24
25,5,Statins,Persist5,5,High,37.24,500.1
26,6,Ace,Persist5,1,Low,2.5,15
27,6,Ace,Persist5,2,Medium1,15,18.76
28,6,Ace,Persist5,3,Medium2,18.76,28
29,6,Ace,Persist5,4,Medium3,28,30
30,6,Ace,Persist5,5,High,30,373.52
31,39,HBA1C_FULL,Persist5,1,Low,3.9,5.5
32,39,HBA1C_FULL,Persist5,2,Medium1,5.5,5.76
33,39,HBA1C_FULL,Persist5,3,Medium2,5.76,5.95
34,39,HBA1C_FULL,Persist5,4,Medium3,5.95,10.5
35,39,HBA1C_FULL,Persist5,5,High,10.5,222.7
36,40,LDL_FULL,Persist5,1,Low,2.8,63
37,40,LDL_FULL,Persist5,2,Medium1,63,143.2
38,40,LDL_FULL,Persist5,3,Medium2,143.2,153
39,40,LDL_FULL,Persist5,4,Medium3,153,167
40,40,LDL_FULL,Persist5,5,High,167,328.39999
41,41,Cholesterol_FULL,Persist5,1,Low,64,135
42,41,Cholesterol_FULL,Persist5,2,Medium1,135,235
43,41,Cholesterol_FULL,Persist5,3,Medium2,235,247
44,41,Cholesterol_FULL,Persist5,4,Medium3,247,264
45,41,Cholesterol_FULL,Persist5,5,High,264,557
46,42,Glucose_FULL,Persist5,1,Low,28,82
47,42,Glucose_FULL,Persist5,2,Medium1,82,88
48,42,Glucose_FULL,Persist5,3,Medium2,88,94
49,42,Glucose_FULL,Persist5,4,Medium3,94,99
50,42,Glucose_FULL,Persist5,5,High,99,802
51,43,Albumin_FULL,Persist5,1,Low,2,3.6
52,43,Albumin_FULL,Persist5,2,Medium1,3.6,3.8
53,43,Albumin_FULL,Persist5,3,Medium2,3.8,3.89
54,43,Albumin_FULL,Persist5,4,Medium3,3.89,3.9
55,43,Albumin_FULL,Persist5,5,High,3.9,5.8
56,44,Creatinine_FULL,Persist5,1,Low,0.28,0.58
57,44,Creatinine_FULL,Persist5,2,Medium1,0.58,0.63
58,44,Creatinine_FULL,Persist5,3,Medium2,0.63,0.69
59,44,Creatinine_FULL,Persist5,4,Medium3,0.69,1.4
60,44,Creatinine_FULL,Persist5,5,High,1.4,11.8
