StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,SAX3,1,Low,0.43,18.8761297498246
2,1,Diabetes,SAX3,2,Medium,18.8761297498246,34.0998528122279
3,1,Diabetes,SAX3,3,High,34.0998528122279,242.4
4,2,BetaBlockers,SAX3,1,Low,0.33,16.4909498292609
5,2,BetaBlockers,SAX3,2,Medium,16.4909498292609,27.9712837049189
6,2,BetaBlockers,SAX3,3,High,27.9712837049189,239.4
7,3,CCB,SAX3,1,Low,1,29.5330606180941
8,3,CCB,SAX3,2,Medium,29.5330606180941,44.5686898942351
9,3,CCB,SAX3,3,High,44.5686898942351,240
10,4,Other,SAX3,1,Low,0.5,30.4681762221856
11,4,Other,SAX3,2,Medium,30.4681762221856,52.1253127821011
12,4,Other,SAX3,3,High,52.1253127821011,377.2
13,5,Statins,SAX3,1,Low,0.67,30.4240671358866
14,5,Statins,SAX3,2,Medium,30.4240671358866,54.1417595097586
15,5,Statins,SAX3,3,High,54.1417595097586,500.1
16,6,Ace,SAX3,1,Low,2.5,33.5307343542636
17,6,Ace,SAX3,2,Medium,33.5307343542636,64.3420572037091
18,6,Ace,SAX3,3,High,64.3420572037091,373.52
19,39,HBA1C_FULL,SAX3,1,Low,3.9,5.60817652028875
20,39,HBA1C_FULL,SAX3,2,Medium,5.60817652028875,9.02106631728094
21,39,HBA1C_FULL,SAX3,3,High,9.02106631728094,222.7
22,40,LDL_FULL,SAX3,1,Low,2.8,96.4213401158121
23,40,LDL_FULL,SAX3,2,Medium,96.4213401158121,124.051114523808
24,40,LDL_FULL,SAX3,3,High,124.051114523808,328.39999
25,41,Cholesterol_FULL,SAX3,1,Low,64,176.986128347296
26,41,Cholesterol_FULL,SAX3,2,Medium,176.986128347296,212.047390832753
27,41,Cholesterol_FULL,SAX3,3,High,212.047390832753,557
28,42,Glucose_FULL,SAX3,1,Low,28,117.422801346461
29,42,Glucose_FULL,SAX3,2,Medium,117.422801346461,164.226218976134
30,42,Glucose_FULL,SAX3,3,High,164.226218976134,802
31,43,Albumin_FULL,SAX3,1,Low,2,4.04545445174693
32,43,Albumin_FULL,SAX3,2,Medium,4.04545445174693,4.34137998855074
33,43,Albumin_FULL,SAX3,3,High,4.34137998855074,5.8
34,44,Creatinine_FULL,SAX3,1,Low,0.28,0.768480008672681
35,44,Creatinine_FULL,SAX3,2,Medium,0.768480008672681,1.11456669026959
36,44,Creatinine_FULL,SAX3,3,High,1.11456669026959,11.8
