StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Cos3,1,Low,0.43,25.8
2,1,Diabetes,TD4C_Cos3,2,Medium,25.8,27.9
3,1,Diabetes,TD4C_Cos3,3,High,27.9,242.4
4,2,BetaBlockers,TD4C_Cos3,1,Low,0.33,18.9
5,2,BetaBlockers,TD4C_Cos3,2,Medium,18.9,39.9
6,2,BetaBlockers,TD4C_Cos3,3,High,39.9,239.4
7,3,CCB,TD4C_Cos3,1,Low,1,30
8,3,CCB,TD4C_Cos3,2,Medium,30,40
9,3,CCB,TD4C_Cos3,3,High,40,240
10,4,Other,TD4C_Cos3,1,Low,0.5,30
11,4,Other,TD4C_Cos3,2,Medium,30,35
12,4,Other,TD4C_Cos3,3,High,35,377.2
13,5,Statins,TD4C_Cos3,1,Low,0.67,30
14,5,Statins,TD4C_Cos3,2,Medium,30,40.05
15,5,Statins,TD4C_Cos3,3,High,40.05,500.1
16,6,Ace,TD4C_Cos3,1,Low,2.5,37.3333333333333
17,6,Ace,TD4C_Cos3,2,Medium,37.3333333333333,75
18,6,Ace,TD4C_Cos3,3,High,75,373.52
19,39,HBA1C_FULL,TD4C_Cos3,1,Low,3.9,6.7
20,39,HBA1C_FULL,TD4C_Cos3,2,Medium,6.7,7
21,39,HBA1C_FULL,TD4C_Cos3,3,High,7,222.7
22,40,LDL_FULL,TD4C_Cos3,1,Low,2.8,102.3
23,40,LDL_FULL,TD4C_Cos3,2,Medium,102.3,131
24,40,LDL_FULL,TD4C_Cos3,3,High,131,328.39999
25,41,Cholesterol_FULL,TD4C_Cos3,1,Low,64,167
26,41,Cholesterol_FULL,TD4C_Cos3,2,Medium,167,207
27,41,Cholesterol_FULL,TD4C_Cos3,3,High,207,557
28,42,Glucose_FULL,TD4C_Cos3,1,Low,28,136
29,42,Glucose_FULL,TD4C_Cos3,2,Medium,136,149
30,42,Glucose_FULL,TD4C_Cos3,3,High,149,802
31,43,Albumin_FULL,TD4C_Cos3,1,Low,2,4.14
32,43,Albumin_FULL,TD4C_Cos3,2,Medium,4.14,4.29
33,43,Albumin_FULL,TD4C_Cos3,3,High,4.29,5.8
34,44,Creatinine_FULL,TD4C_Cos3,1,Low,0.28,0.92
35,44,Creatinine_FULL,TD4C_Cos3,2,Medium,0.92,1.01
36,44,Creatinine_FULL,TD4C_Cos3,3,High,1.01,11.8
