StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Cos5,1,Low,0.43,15
2,1,Diabetes,TD4C_Cos5,2,Medium1,15,25.8
3,1,Diabetes,TD4C_Cos5,3,Medium2,25.8,27.9
4,1,Diabetes,TD4C_Cos5,4,Medium3,27.9,37.5
5,1,Diabetes,TD4C_Cos5,5,High,37.5,242.4
6,2,BetaBlockers,TD4C_Cos5,1,Low,0.33,10.2
7,2,BetaBlockers,TD4C_Cos5,2,Medium1,10.2,18.9
8,2,BetaBlockers,TD4C_Cos5,3,Medium2,18.9,20.1
9,2,BetaBlockers,TD4C_Cos5,4,Medium3,20.1,39.9
10,2,BetaBlockers,TD4C_Cos5,5,High,39.9,239.4
11,3,CCB,TD4C_Cos5,1,Low,1,30
12,3,CCB,TD4C_Cos5,2,Medium1,30,30
13,3,CCB,TD4C_Cos5,3,Medium2,30,40
14,3,CCB,TD4C_Cos5,4,Medium3,40,60
15,3,CCB,TD4C_Cos5,5,High,60,240
16,4,Other,TD4C_Cos5,1,Low,0.5,21
17,4,Other,TD4C_Cos5,2,Medium1,21,30
18,4,Other,TD4C_Cos5,3,Medium2,30,35
19,4,Other,TD4C_Cos5,4,Medium3,35,50
20,4,Other,TD4C_Cos5,5,High,50,377.2
21,5,Statins,TD4C_Cos5,1,Low,0.67,20.1
22,5,Statins,TD4C_Cos5,2,Medium1,20.1,30
23,5,Statins,TD4C_Cos5,3,Medium2,30,39.9
24,5,Statins,TD4C_Cos5,4,Medium3,39.9,40.05
25,5,Statins,TD4C_Cos5,5,High,40.05,500.1
26,6,Ace,TD4C_Cos5,1,Low,2.5,22.5
27,6,Ace,TD4C_Cos5,2,Medium1,22.5,37.3333333333333
28,6,Ace,TD4C_Cos5,3,Medium2,37.3333333333333,60
29,6,Ace,TD4C_Cos5,4,Medium3,60,75
30,6,Ace,TD4C_Cos5,5,High,75,373.52
31,39,HBA1C_FULL,TD4C_Cos5,1,Low,3.9,5.76
32,39,HBA1C_FULL,TD4C_Cos5,2,Medium1,5.76,6.7
33,39,HBA1C_FULL,TD4C_Cos5,3,Medium2,6.7,7
34,39,HBA1C_FULL,TD4C_Cos5,4,Medium3,7,7.34
35,39,HBA1C_FULL,TD4C_Cos5,5,High,7.34,222.7
36,40,LDL_FULL,TD4C_Cos5,1,Low,2.8,82.9
37,40,LDL_FULL,TD4C_Cos5,2,Medium1,82.9,102.3
38,40,LDL_FULL,TD4C_Cos5,3,Medium2,102.3,115
39,40,LDL_FULL,TD4C_Cos5,4,Medium3,115,131
40,40,LDL_FULL,TD4C_Cos5,5,High,131,328.39999
41,41,Cholesterol_FULL,TD4C_Cos5,1,Low,64,160
42,41,Cholesterol_FULL,TD4C_Cos5,2,Medium1,160,167
43,41,Cholesterol_FULL,TD4C_Cos5,3,Medium2,167,193
44,41,Cholesterol_FULL,TD4C_Cos5,4,Medium3,193,207
45,41,Cholesterol_FULL,TD4C_Cos5,5,High,207,557
46,42,Glucose_FULL,TD4C_Cos5,1,Low,28,101
47,42,Glucose_FULL,TD4C_Cos5,2,Medium1,101,125
48,42,Glucose_FULL,TD4C_Cos5,3,Medium2,125,136
49,42,Glucose_FULL,TD4C_Cos5,4,Medium3,136,149
50,42,Glucose_FULL,TD4C_Cos5,5,High,149,802
51,43,Albumin_FULL,TD4C_Cos5,1,Low,2,4.01
52,43,Albumin_FULL,TD4C_Cos5,2,Medium1,4.01,4.14
53,43,Albumin_FULL,TD4C_Cos5,3,Medium2,4.14,4.29
54,43,Albumin_FULL,TD4C_Cos5,4,Medium3,4.29,4.32
55,43,Albumin_FULL,TD4C_Cos5,5,High,4.32,5.8
56,44,Creatinine_FULL,TD4C_Cos5,1,Low,0.28,0.79
57,44,Creatinine_FULL,TD4C_Cos5,2,Medium1,0.79,0.92
58,44,Creatinine_FULL,TD4C_Cos5,3,Medium2,0.92,1.01
59,44,Creatinine_FULL,TD4C_Cos5,4,Medium3,1.01,1.1
60,44,Creatinine_FULL,TD4C_Cos5,5,High,1.1,11.8
