StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Ent3,1,Low,0.43,37.5
2,1,Diabetes,TD4C_Ent3,2,Medium,37.5,52.5
3,1,Diabetes,TD4C_Ent3,3,High,52.5,242.4
4,2,BetaBlockers,TD4C_Ent3,1,Low,0.33,39.9
5,2,BetaBlockers,TD4C_Ent3,2,Medium,39.9,40.2
6,2,BetaBlockers,TD4C_Ent3,3,High,40.2,239.4
7,3,CCB,TD4C_Ent3,1,Low,1,15.3
8,3,CCB,TD4C_Ent3,2,Medium,15.3,30
9,3,CCB,TD4C_Ent3,3,High,30,240
10,4,Other,TD4C_Ent3,1,Low,0.5,60
11,4,Other,TD4C_Ent3,2,Medium,60,77.0060000000001
12,4,Other,TD4C_Ent3,3,High,77.0060000000001,377.2
13,5,Statins,TD4C_Ent3,1,Low,0.67,20.1
14,5,Statins,TD4C_Ent3,2,Medium,20.1,20.1
15,5,Statins,TD4C_Ent3,3,High,20.1,500.1
16,6,Ace,TD4C_Ent3,1,Low,2.5,15
17,6,Ace,TD4C_Ent3,2,Medium,15,15
18,6,Ace,TD4C_Ent3,3,High,15,373.52
19,39,HBA1C_FULL,TD4C_Ent3,1,Low,3.9,8.3
20,39,HBA1C_FULL,TD4C_Ent3,2,Medium,8.3,10.5
21,39,HBA1C_FULL,TD4C_Ent3,3,High,10.5,222.7
22,40,LDL_FULL,TD4C_Ent3,1,Low,2.8,140.2
23,40,LDL_FULL,TD4C_Ent3,2,Medium,140.2,149
24,40,LDL_FULL,TD4C_Ent3,3,High,149,328.39999
25,41,Cholesterol_FULL,TD4C_Ent3,1,Low,64,219
26,41,Cholesterol_FULL,TD4C_Ent3,2,Medium,219,256
27,41,Cholesterol_FULL,TD4C_Ent3,3,High,256,557
28,42,Glucose_FULL,TD4C_Ent3,1,Low,28,193
29,42,Glucose_FULL,TD4C_Ent3,2,Medium,193,237
30,42,Glucose_FULL,TD4C_Ent3,3,High,237,802
31,43,Albumin_FULL,TD4C_Ent3,1,Low,2,4.43
32,43,Albumin_FULL,TD4C_Ent3,2,Medium,4.43,4.59
33,43,Albumin_FULL,TD4C_Ent3,3,High,4.59,5.8
34,44,Creatinine_FULL,TD4C_Ent3,1,Low,0.28,1.2
35,44,Creatinine_FULL,TD4C_Ent3,2,Medium,1.2,1.3
36,44,Creatinine_FULL,TD4C_Ent3,3,High,1.3,11.8
