StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_KL5,1,Low,0.43,12.9
2,1,Diabetes,TD4C_KL5,2,Medium1,12.9,15
3,1,Diabetes,TD4C_KL5,3,Medium2,15,25.8
4,1,Diabetes,TD4C_KL5,4,Medium3,25.8,52.5
5,1,Diabetes,TD4C_KL5,5,High,52.5,242.4
6,2,BetaBlockers,TD4C_KL5,1,Low,0.33,9.9
7,2,BetaBlockers,TD4C_KL5,2,Medium1,9.9,9.9
8,2,BetaBlockers,TD4C_KL5,3,Medium2,9.9,9.9
9,2,BetaBlockers,TD4C_KL5,4,Medium3,9.9,39.9
10,2,BetaBlockers,TD4C_KL5,5,High,39.9,239.4
11,3,CCB,TD4C_KL5,1,Low,1,20
12,3,CCB,TD4C_KL5,2,Medium1,20,30
13,3,CCB,TD4C_KL5,3,Medium2,30,30
14,3,CCB,TD4C_KL5,4,Medium3,30,30
15,3,CCB,TD4C_KL5,5,High,30,240
16,4,Other,TD4C_KL5,1,Low,0.5,21
17,4,Other,TD4C_KL5,2,Medium1,21,28
18,4,Other,TD4C_KL5,3,Medium2,28,28
19,4,Other,TD4C_KL5,4,Medium3,28,47.1
20,4,Other,TD4C_KL5,5,High,47.1,377.2
21,5,Statins,TD4C_KL5,1,Low,0.67,20.1
22,5,Statins,TD4C_KL5,2,Medium1,20.1,20.1
23,5,Statins,TD4C_KL5,3,Medium2,20.1,20.1
24,5,Statins,TD4C_KL5,4,Medium3,20.1,20.1
25,5,Statins,TD4C_KL5,5,High,20.1,500.1
26,6,Ace,TD4C_KL5,1,Low,2.5,15
27,6,Ace,TD4C_KL5,2,Medium1,15,15
28,6,Ace,TD4C_KL5,3,Medium2,15,15
29,6,Ace,TD4C_KL5,4,Medium3,15,22.5
30,6,Ace,TD4C_KL5,5,High,22.5,373.52
31,39,HBA1C_FULL,TD4C_KL5,1,Low,3.9,6.7
32,39,HBA1C_FULL,TD4C_KL5,2,Medium1,6.7,7.6
33,39,HBA1C_FULL,TD4C_KL5,3,Medium2,7.6,8.82
34,39,HBA1C_FULL,TD4C_KL5,4,Medium3,8.82,10.5
35,39,HBA1C_FULL,TD4C_KL5,5,High,10.5,222.7
36,40,LDL_FULL,TD4C_KL5,1,Low,2.8,96.4
37,40,LDL_FULL,TD4C_KL5,2,Medium1,96.4,102.3
38,40,LDL_FULL,TD4C_KL5,3,Medium2,102.3,131
39,40,LDL_FULL,TD4C_KL5,4,Medium3,131,161
40,40,LDL_FULL,TD4C_KL5,5,High,161,328.39999
41,41,Cholesterol_FULL,TD4C_KL5,1,Low,64,164
42,41,Cholesterol_FULL,TD4C_KL5,2,Medium1,164,199
43,41,Cholesterol_FULL,TD4C_KL5,3,Medium2,199,207
44,41,Cholesterol_FULL,TD4C_KL5,4,Medium3,207,252
45,41,Cholesterol_FULL,TD4C_KL5,5,High,252,557
46,42,Glucose_FULL,TD4C_KL5,1,Low,28,89
47,42,Glucose_FULL,TD4C_KL5,2,Medium1,89,136
48,42,Glucose_FULL,TD4C_KL5,3,Medium2,136,170
49,42,Glucose_FULL,TD4C_KL5,4,Medium3,170,197
50,42,Glucose_FULL,TD4C_KL5,5,High,197,802
51,43,Albumin_FULL,TD4C_KL5,1,Low,2,3.6
52,43,Albumin_FULL,TD4C_KL5,2,Medium1,3.6,4.01
53,43,Albumin_FULL,TD4C_KL5,3,Medium2,4.01,4.14
54,43,Albumin_FULL,TD4C_KL5,4,Medium3,4.14,4.59
55,43,Albumin_FULL,TD4C_KL5,5,High,4.59,5.8
56,44,Creatinine_FULL,TD4C_KL5,1,Low,0.28,0.92
57,44,Creatinine_FULL,TD4C_KL5,2,Medium1,0.92,1.09
58,44,Creatinine_FULL,TD4C_KL5,3,Medium2,1.09,1.2
59,44,Creatinine_FULL,TD4C_KL5,4,Medium3,1.2,1.3
60,44,Creatinine_FULL,TD4C_KL5,5,High,1.3,11.8
