StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,SAX5,1,Low,0.43,11.806427956879
2,1,Diabetes,SAX5,2,Medium1,11.806427956879,22.5028850819693
3,1,Diabetes,SAX5,3,Medium2,22.5028850819693,31.7138746783839
4,1,Diabetes,SAX5,4,Medium3,31.7138746783839,42.4103318034741
5,1,Diabetes,SAX5,5,High,42.4103318034741,242.4
6,2,BetaBlockers,SAX5,1,Low,0.33,10.8363391827735
7,2,BetaBlockers,SAX5,2,Medium1,10.8363391827735,18.6947718028964
8,2,BetaBlockers,SAX5,3,Medium2,18.6947718028964,25.461866763553
9,2,BetaBlockers,SAX5,4,Medium3,25.461866763553,33.320299383676
10,2,BetaBlockers,SAX5,5,High,33.320299383676,239.4
11,3,CCB,SAX5,1,Low,1,21.7020963582668
12,3,CCB,SAX5,2,Medium1,21.7020963582668,32.0811011979548
13,3,CCB,SAX5,3,Medium2,32.0811011979548,41.0187246074159
14,3,CCB,SAX5,4,Medium3,41.0187246074159,51.397729447104
15,3,CCB,SAX5,5,High,51.397729447104,270
16,4,Other,SAX5,1,Low,0.5,20.0073246729118
17,4,Other,SAX5,2,Medium1,20.0073246729118,34.9234727518904
18,4,Other,SAX5,3,Medium2,34.9234727518904,47.7681448865336
19,4,Other,SAX5,4,Medium3,47.7681448865336,62.6842929655122
20,4,Other,SAX5,5,High,62.6842929655122,377.2
21,5,Statins,SAX5,1,Low,0.67,19.0691252117533
22,5,Statins,SAX5,2,Medium1,19.0691252117533,35.0328026057188
23,5,Statins,SAX5,3,Medium2,35.0328026057188,48.7795287110783
24,5,Statins,SAX5,4,Medium3,48.7795287110783,64.7432061050438
25,5,Statins,SAX5,5,High,64.7432061050438,500.1
26,6,Ace,SAX5,1,Low,2.5,18.3662813716361
27,6,Ace,SAX5,2,Medium1,18.3662813716361,38.9403787445132
28,6,Ace,SAX5,3,Medium2,38.9403787445132,56.6572540277012
29,6,Ace,SAX5,4,Medium3,56.6572540277012,77.2313514005783
30,6,Ace,SAX5,5,High,77.2313514005783,373.52
31,39,HBA1C_FULL,SAX5,1,Low,3.9,4.36656087168576
32,39,HBA1C_FULL,SAX5,2,Medium1,4.36656087168576,6.47929697465719
33,39,HBA1C_FULL,SAX5,3,Medium2,6.47929697465719,8.29862743490761
34,39,HBA1C_FULL,SAX5,4,Medium3,8.29862743490761,10.411363537879
35,39,HBA1C_FULL,SAX5,5,High,10.411363537879,222.7
36,40,LDL_FULL,SAX5,1,Low,2.8,83.4240207294256
37,40,LDL_FULL,SAX5,2,Medium1,83.4240207294256,102.54334126682
38,40,LDL_FULL,SAX5,3,Medium2,102.54334126682,119.007471445715
39,40,LDL_FULL,SAX5,4,Medium3,119.007471445715,138.12679198311
40,40,LDL_FULL,SAX5,5,High,138.12679198311,328.39999
41,41,Cholesterol_FULL,SAX5,1,Low,64,160.404157159356
42,41,Cholesterol_FULL,SAX5,2,Medium1,160.404157159356,184.804497689831
43,41,Cholesterol_FULL,SAX5,3,Medium2,184.804497689831,205.816247668989
44,41,Cholesterol_FULL,SAX5,4,Medium3,205.816247668989,230.216588199464
45,41,Cholesterol_FULL,SAX5,5,High,230.216588199464,557
46,42,Glucose_FULL,SAX5,1,Low,28,93.865150411031
47,42,Glucose_FULL,SAX5,2,Medium1,93.865150411031,128.340531806423
48,42,Glucose_FULL,SAX5,3,Medium2,128.340531806423,158.028154133307
49,42,Glucose_FULL,SAX5,4,Medium3,158.028154133307,192.503535528699
50,42,Glucose_FULL,SAX5,5,High,192.503535528699,1453
51,43,Albumin_FULL,SAX5,1,Low,2,3.8826620084594
52,43,Albumin_FULL,SAX5,2,Medium1,3.8826620084594,4.09140800636231
53,43,Albumin_FULL,SAX5,3,Medium2,4.09140800636231,4.2711644614662
54,43,Albumin_FULL,SAX5,4,Medium3,4.2711644614662,4.47991045936912
55,43,Albumin_FULL,SAX5,5,High,4.47991045936912,5.8
56,44,Creatinine_FULL,SAX5,1,Low,0.2,0.580790264852804
57,44,Creatinine_FULL,SAX5,2,Medium1,0.580790264852804,0.820310436970514
58,44,Creatinine_FULL,SAX5,3,Medium2,0.820310436970514,1.02656731134555
59,44,Creatinine_FULL,SAX5,4,Medium3,1.02656731134555,1.26608748346326
60,44,Creatinine_FULL,SAX5,5,High,1.26608748346326,15.4
