StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Cos3,1,Low,0.43,20.4
2,1,Diabetes,TD4C_Cos3,2,Medium,20.4,45
3,1,Diabetes,TD4C_Cos3,3,High,45,242.4
4,2,BetaBlockers,TD4C_Cos3,1,Low,0.33,20.1
5,2,BetaBlockers,TD4C_Cos3,2,Medium,20.1,33.5
6,2,BetaBlockers,TD4C_Cos3,3,High,33.5,239.4
7,3,CCB,TD4C_Cos3,1,Low,1,30
8,3,CCB,TD4C_Cos3,2,Medium,30,39.6
9,3,CCB,TD4C_Cos3,3,High,39.6,270
10,4,Other,TD4C_Cos3,1,Low,0.5,30
11,4,Other,TD4C_Cos3,2,Medium,30,48
12,4,Other,TD4C_Cos3,3,High,48,377.2
13,5,Statins,TD4C_Cos3,1,Low,0.67,37.38
14,5,Statins,TD4C_Cos3,2,Medium,37.38,40.2
15,5,Statins,TD4C_Cos3,3,High,40.2,500.1
16,6,Ace,TD4C_Cos3,1,Low,2.5,28
17,6,Ace,TD4C_Cos3,2,Medium,28,60
18,6,Ace,TD4C_Cos3,3,High,60,373.52
19,39,HBA1C_FULL,TD4C_Cos3,1,Low,3.9,6.8
20,39,HBA1C_FULL,TD4C_Cos3,2,Medium,6.8,8
21,39,HBA1C_FULL,TD4C_Cos3,3,High,8,222.7
22,40,LDL_FULL,TD4C_Cos3,1,Low,2.8,90
23,40,LDL_FULL,TD4C_Cos3,2,Medium,90,108.1
24,40,LDL_FULL,TD4C_Cos3,3,High,108.1,328.39999
25,41,Cholesterol_FULL,TD4C_Cos3,1,Low,64,171
26,41,Cholesterol_FULL,TD4C_Cos3,2,Medium,171,188
27,41,Cholesterol_FULL,TD4C_Cos3,3,High,188,557
28,42,Glucose_FULL,TD4C_Cos3,1,Low,28,118
29,42,Glucose_FULL,TD4C_Cos3,2,Medium,118,150
30,42,Glucose_FULL,TD4C_Cos3,3,High,150,1453
31,43,Albumin_FULL,TD4C_Cos3,1,Low,2,4.2
32,43,Albumin_FULL,TD4C_Cos3,2,Medium,4.2,4.3
33,43,Albumin_FULL,TD4C_Cos3,3,High,4.3,5.8
34,44,Creatinine_FULL,TD4C_Cos3,1,Low,0.2,0.88
35,44,Creatinine_FULL,TD4C_Cos3,2,Medium,0.88,0.95
36,44,Creatinine_FULL,TD4C_Cos3,3,High,0.95,15.4
