StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Cos5,1,Low,0.43,15
2,1,Diabetes,TD4C_Cos5,2,Medium1,15,20.4
3,1,Diabetes,TD4C_Cos5,3,Medium2,20.4,27.9
4,1,Diabetes,TD4C_Cos5,4,Medium3,27.9,45
5,1,Diabetes,TD4C_Cos5,5,High,45,242.4
6,2,BetaBlockers,TD4C_Cos5,1,Low,0.33,15
7,2,BetaBlockers,TD4C_Cos5,2,Medium1,15,20.1
8,2,BetaBlockers,TD4C_Cos5,3,Medium2,20.1,33.5
9,2,BetaBlockers,TD4C_Cos5,4,Medium3,33.5,39.9
10,2,BetaBlockers,TD4C_Cos5,5,High,39.9,239.4
11,3,CCB,TD4C_Cos5,1,Low,1,30
12,3,CCB,TD4C_Cos5,2,Medium1,30,30
13,3,CCB,TD4C_Cos5,3,Medium2,30,30
14,3,CCB,TD4C_Cos5,4,Medium3,30,39.6
15,3,CCB,TD4C_Cos5,5,High,39.6,270
16,4,Other,TD4C_Cos5,1,Low,0.5,30
17,4,Other,TD4C_Cos5,2,Medium1,30,33.75
18,4,Other,TD4C_Cos5,3,Medium2,33.75,48
19,4,Other,TD4C_Cos5,4,Medium3,48,67.5
20,4,Other,TD4C_Cos5,5,High,67.5,377.2
21,5,Statins,TD4C_Cos5,1,Low,0.67,37.38
22,5,Statins,TD4C_Cos5,2,Medium1,37.38,39.9
23,5,Statins,TD4C_Cos5,3,Medium2,39.9,39.9
24,5,Statins,TD4C_Cos5,4,Medium3,39.9,40.2
25,5,Statins,TD4C_Cos5,5,High,40.2,500.1
26,6,Ace,TD4C_Cos5,1,Low,2.5,28
27,6,Ace,TD4C_Cos5,2,Medium1,28,37.24
28,6,Ace,TD4C_Cos5,3,Medium2,37.24,60
29,6,Ace,TD4C_Cos5,4,Medium3,60,74.76
30,6,Ace,TD4C_Cos5,5,High,74.76,373.52
31,39,HBA1C_FULL,TD4C_Cos5,1,Low,3.9,6.17
32,39,HBA1C_FULL,TD4C_Cos5,2,Medium1,6.17,6.8
33,39,HBA1C_FULL,TD4C_Cos5,3,Medium2,6.8,7.21
34,39,HBA1C_FULL,TD4C_Cos5,4,Medium3,7.21,8
35,39,HBA1C_FULL,TD4C_Cos5,5,High,8,222.7
36,40,LDL_FULL,TD4C_Cos5,1,Low,2.8,90
37,40,LDL_FULL,TD4C_Cos5,2,Medium1,90,98
38,40,LDL_FULL,TD4C_Cos5,3,Medium2,98,108.1
39,40,LDL_FULL,TD4C_Cos5,4,Medium3,108.1,132
40,40,LDL_FULL,TD4C_Cos5,5,High,132,328.39999
41,41,Cholesterol_FULL,TD4C_Cos5,1,Low,64,171
42,41,Cholesterol_FULL,TD4C_Cos5,2,Medium1,171,188
43,41,Cholesterol_FULL,TD4C_Cos5,3,Medium2,188,199
44,41,Cholesterol_FULL,TD4C_Cos5,4,Medium3,199,212
45,41,Cholesterol_FULL,TD4C_Cos5,5,High,212,557
46,42,Glucose_FULL,TD4C_Cos5,1,Low,28,102
47,42,Glucose_FULL,TD4C_Cos5,2,Medium1,102,118
48,42,Glucose_FULL,TD4C_Cos5,3,Medium2,118,135
49,42,Glucose_FULL,TD4C_Cos5,4,Medium3,135,150
50,42,Glucose_FULL,TD4C_Cos5,5,High,150,1453
51,43,Albumin_FULL,TD4C_Cos5,1,Low,2,4.03
52,43,Albumin_FULL,TD4C_Cos5,2,Medium1,4.03,4.2
53,43,Albumin_FULL,TD4C_Cos5,3,Medium2,4.2,4.3
54,43,Albumin_FULL,TD4C_Cos5,4,Medium3,4.3,4.33
55,43,Albumin_FULL,TD4C_Cos5,5,High,4.33,5.8
56,44,Creatinine_FULL,TD4C_Cos5,1,Low,0.2,0.76
57,44,Creatinine_FULL,TD4C_Cos5,2,Medium1,0.76,0.81
58,44,Creatinine_FULL,TD4C_Cos5,3,Medium2,0.81,0.88
59,44,Creatinine_FULL,TD4C_Cos5,4,Medium3,0.88,0.95
60,44,Creatinine_FULL,TD4C_Cos5,5,High,0.95,15.4
