StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Ent5,1,Low,0.43,12.9
2,1,Diabetes,TD4C_Ent5,2,Medium1,12.9,35.7
3,1,Diabetes,TD4C_Ent5,3,Medium2,35.7,38.7
4,1,Diabetes,TD4C_Ent5,4,Medium3,38.7,42.9
5,1,Diabetes,TD4C_Ent5,5,High,42.9,242.4
6,2,BetaBlockers,TD4C_Ent5,1,Low,0.33,9.9
7,2,BetaBlockers,TD4C_Ent5,2,Medium1,9.9,9.9
8,2,BetaBlockers,TD4C_Ent5,3,Medium2,9.9,9.9
9,2,BetaBlockers,TD4C_Ent5,4,Medium3,9.9,13.4
10,2,BetaBlockers,TD4C_Ent5,5,High,13.4,239.4
11,3,CCB,TD4C_Ent5,1,Low,1,15.3
12,3,CCB,TD4C_Ent5,2,Medium1,15.3,30
13,3,CCB,TD4C_Ent5,3,Medium2,30,30
14,3,CCB,TD4C_Ent5,4,Medium3,30,30
15,3,CCB,TD4C_Ent5,5,High,30,270
16,4,Other,TD4C_Ent5,1,Low,0.5,48
17,4,Other,TD4C_Ent5,2,Medium1,48,58
18,4,Other,TD4C_Ent5,3,Medium2,58,60
19,4,Other,TD4C_Ent5,4,Medium3,60,60.7360000000001
20,4,Other,TD4C_Ent5,5,High,60.7360000000001,377.2
21,5,Statins,TD4C_Ent5,1,Low,0.67,40.2
22,5,Statins,TD4C_Ent5,2,Medium1,40.2,60
23,5,Statins,TD4C_Ent5,3,Medium2,60,74.76
24,5,Statins,TD4C_Ent5,4,Medium3,74.76,80.1
25,5,Statins,TD4C_Ent5,5,High,80.1,500.1
26,6,Ace,TD4C_Ent5,1,Low,2.5,15
27,6,Ace,TD4C_Ent5,2,Medium1,15,28
28,6,Ace,TD4C_Ent5,3,Medium2,28,112
29,6,Ace,TD4C_Ent5,4,Medium3,112,120
30,6,Ace,TD4C_Ent5,5,High,120,373.52
31,39,HBA1C_FULL,TD4C_Ent5,1,Low,3.9,7.9
32,39,HBA1C_FULL,TD4C_Ent5,2,Medium1,7.9,8.3
33,39,HBA1C_FULL,TD4C_Ent5,3,Medium2,8.3,8.84
34,39,HBA1C_FULL,TD4C_Ent5,4,Medium3,8.84,10.6
35,39,HBA1C_FULL,TD4C_Ent5,5,High,10.6,222.7
36,40,LDL_FULL,TD4C_Ent5,1,Low,2.8,68.8
37,40,LDL_FULL,TD4C_Ent5,2,Medium1,68.8,77
38,40,LDL_FULL,TD4C_Ent5,3,Medium2,77,84.9
39,40,LDL_FULL,TD4C_Ent5,4,Medium3,84.9,89
40,40,LDL_FULL,TD4C_Ent5,5,High,89,328.39999
41,41,Cholesterol_FULL,TD4C_Ent5,1,Low,64,138
42,41,Cholesterol_FULL,TD4C_Ent5,2,Medium1,138,155
43,41,Cholesterol_FULL,TD4C_Ent5,3,Medium2,155,162
44,41,Cholesterol_FULL,TD4C_Ent5,4,Medium3,162,168
45,41,Cholesterol_FULL,TD4C_Ent5,5,High,168,557
46,42,Glucose_FULL,TD4C_Ent5,1,Low,28,84
47,42,Glucose_FULL,TD4C_Ent5,2,Medium1,84,94
48,42,Glucose_FULL,TD4C_Ent5,3,Medium2,94,99
49,42,Glucose_FULL,TD4C_Ent5,4,Medium3,99,107
50,42,Glucose_FULL,TD4C_Ent5,5,High,107,1453
51,43,Albumin_FULL,TD4C_Ent5,1,Low,2,4.33
52,43,Albumin_FULL,TD4C_Ent5,2,Medium1,4.33,4.41
53,43,Albumin_FULL,TD4C_Ent5,3,Medium2,4.41,4.5
54,43,Albumin_FULL,TD4C_Ent5,4,Medium3,4.5,4.61
55,43,Albumin_FULL,TD4C_Ent5,5,High,4.61,5.8
56,44,Creatinine_FULL,TD4C_Ent5,1,Low,0.2,0.6
57,44,Creatinine_FULL,TD4C_Ent5,2,Medium1,0.6,0.69
58,44,Creatinine_FULL,TD4C_Ent5,3,Medium2,0.69,0.74
59,44,Creatinine_FULL,TD4C_Ent5,4,Medium3,0.74,0.81
60,44,Creatinine_FULL,TD4C_Ent5,5,High,0.81,15.4
