StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_KL5,1,Low,0.43,12.9
2,1,Diabetes,TD4C_KL5,2,Medium1,12.9,15
3,1,Diabetes,TD4C_KL5,3,Medium2,15,35.7
4,1,Diabetes,TD4C_KL5,4,Medium3,35.7,38.7
5,1,Diabetes,TD4C_KL5,5,High,38.7,242.4
6,2,BetaBlockers,TD4C_KL5,1,Low,0.33,15
7,2,BetaBlockers,TD4C_KL5,2,Medium1,15,17.64
8,2,BetaBlockers,TD4C_KL5,3,Medium2,17.64,19.8
9,2,BetaBlockers,TD4C_KL5,4,Medium3,19.8,33.5
10,2,BetaBlockers,TD4C_KL5,5,High,33.5,239.4
11,3,CCB,TD4C_KL5,1,Low,1,15.3
12,3,CCB,TD4C_KL5,2,Medium1,15.3,20.1
13,3,CCB,TD4C_KL5,3,Medium2,20.1,39.6
14,3,CCB,TD4C_KL5,4,Medium3,39.6,60
15,3,CCB,TD4C_KL5,5,High,60,270
16,4,Other,TD4C_KL5,1,Low,0.5,30
17,4,Other,TD4C_KL5,2,Medium1,30,33.75
18,4,Other,TD4C_KL5,3,Medium2,33.75,48
19,4,Other,TD4C_KL5,4,Medium3,48,60.7360000000001
20,4,Other,TD4C_KL5,5,High,60.7360000000001,377.2
21,5,Statins,TD4C_KL5,1,Low,0.67,20.1
22,5,Statins,TD4C_KL5,2,Medium1,20.1,20.1
23,5,Statins,TD4C_KL5,3,Medium2,20.1,20.1
24,5,Statins,TD4C_KL5,4,Medium3,20.1,40.2
25,5,Statins,TD4C_KL5,5,High,40.2,500.1
26,6,Ace,TD4C_KL5,1,Low,2.5,15
27,6,Ace,TD4C_KL5,2,Medium1,15,15
28,6,Ace,TD4C_KL5,3,Medium2,15,28
29,6,Ace,TD4C_KL5,4,Medium3,28,112
30,6,Ace,TD4C_KL5,5,High,112,373.52
31,39,HBA1C_FULL,TD4C_KL5,1,Low,3.9,6.17
32,39,HBA1C_FULL,TD4C_KL5,2,Medium1,6.17,6.46
33,39,HBA1C_FULL,TD4C_KL5,3,Medium2,6.46,6.6
34,39,HBA1C_FULL,TD4C_KL5,4,Medium3,6.6,8.3
35,39,HBA1C_FULL,TD4C_KL5,5,High,8.3,222.7
36,40,LDL_FULL,TD4C_KL5,1,Low,2.8,68.8
37,40,LDL_FULL,TD4C_KL5,2,Medium1,68.8,77
38,40,LDL_FULL,TD4C_KL5,3,Medium2,77,89
39,40,LDL_FULL,TD4C_KL5,4,Medium3,89,168
40,40,LDL_FULL,TD4C_KL5,5,High,168,328.39999
41,41,Cholesterol_FULL,TD4C_KL5,1,Low,64,145
42,41,Cholesterol_FULL,TD4C_KL5,2,Medium1,145,168
43,41,Cholesterol_FULL,TD4C_KL5,3,Medium2,168,227
44,41,Cholesterol_FULL,TD4C_KL5,4,Medium3,227,257
45,41,Cholesterol_FULL,TD4C_KL5,5,High,257,557
46,42,Glucose_FULL,TD4C_KL5,1,Low,28,89
47,42,Glucose_FULL,TD4C_KL5,2,Medium1,89,99
48,42,Glucose_FULL,TD4C_KL5,3,Medium2,99,168
49,42,Glucose_FULL,TD4C_KL5,4,Medium3,168,201
50,42,Glucose_FULL,TD4C_KL5,5,High,201,1453
51,43,Albumin_FULL,TD4C_KL5,1,Low,2,3.87
52,43,Albumin_FULL,TD4C_KL5,2,Medium1,3.87,4.2
53,43,Albumin_FULL,TD4C_KL5,3,Medium2,4.2,4.41
54,43,Albumin_FULL,TD4C_KL5,4,Medium3,4.41,4.7
55,43,Albumin_FULL,TD4C_KL5,5,High,4.7,5.8
56,44,Creatinine_FULL,TD4C_KL5,1,Low,0.2,0.68
57,44,Creatinine_FULL,TD4C_KL5,2,Medium1,0.68,0.81
58,44,Creatinine_FULL,TD4C_KL5,3,Medium2,0.81,0.91
59,44,Creatinine_FULL,TD4C_KL5,4,Medium3,0.91,1.01
60,44,Creatinine_FULL,TD4C_KL5,5,High,1.01,15.4
