StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,EQW5,1,Low,0.43,48.824
2,1,Diabetes,EQW5,2,Medium1,48.824,97.218
3,1,Diabetes,EQW5,3,Medium2,97.218,145.612
4,1,Diabetes,EQW5,4,Medium3,145.612,194.006
5,1,Diabetes,EQW5,5,High,194.006,242.4
6,2,BetaBlockers,EQW5,1,Low,0.33,48.144
7,2,BetaBlockers,EQW5,2,Medium1,48.144,95.958
8,2,BetaBlockers,EQW5,3,Medium2,95.958,143.772
9,2,BetaBlockers,EQW5,4,Medium3,143.772,191.586
10,2,BetaBlockers,EQW5,5,High,191.586,239.4
11,3,CCB,EQW5,1,Low,1,54.8
12,3,CCB,EQW5,2,Medium1,54.8,108.6
13,3,CCB,EQW5,3,Medium2,108.6,162.4
14,3,CCB,EQW5,4,Medium3,162.4,216.2
15,3,CCB,EQW5,5,High,216.2,270
16,4,Other,EQW5,1,Low,0.5,75.84
17,4,Other,EQW5,2,Medium1,75.84,151.18
18,4,Other,EQW5,3,Medium2,151.18,226.52
19,4,Other,EQW5,4,Medium3,226.52,301.86
20,4,Other,EQW5,5,High,301.86,377.2
21,5,Statins,EQW5,1,Low,0.67,100.556
22,5,Statins,EQW5,2,Medium1,100.556,200.442
23,5,Statins,EQW5,3,Medium2,200.442,300.328
24,5,Statins,EQW5,4,Medium3,300.328,400.214
25,5,Statins,EQW5,5,High,400.214,500.1
26,6,Ace,EQW5,1,Low,2.5,76.704
27,6,Ace,EQW5,2,Medium1,76.704,150.908
28,6,Ace,EQW5,3,Medium2,150.908,225.112
29,6,Ace,EQW5,4,Medium3,225.112,299.316
30,6,Ace,EQW5,5,High,299.316,373.52
31,39,HBA1C_FULL,EQW5,1,Low,3.9,47.66
32,39,HBA1C_FULL,EQW5,2,Medium1,47.66,91.42
33,39,HBA1C_FULL,EQW5,3,Medium2,91.42,135.18
34,39,HBA1C_FULL,EQW5,4,Medium3,135.18,178.94
35,39,HBA1C_FULL,EQW5,5,High,178.94,222.7
36,40,LDL_FULL,EQW5,1,Low,2.8,67.919998
37,40,LDL_FULL,EQW5,2,Medium1,67.919998,133.039996
38,40,LDL_FULL,EQW5,3,Medium2,133.039996,198.159994
39,40,LDL_FULL,EQW5,4,Medium3,198.159994,263.279992
40,40,LDL_FULL,EQW5,5,High,263.279992,328.39999
41,41,Cholesterol_FULL,EQW5,1,Low,64,162.6
42,41,Cholesterol_FULL,EQW5,2,Medium1,162.6,261.2
43,41,Cholesterol_FULL,EQW5,3,Medium2,261.2,359.8
44,41,Cholesterol_FULL,EQW5,4,Medium3,359.8,458.4
45,41,Cholesterol_FULL,EQW5,5,High,458.4,557
46,42,Glucose_FULL,EQW5,1,Low,28,313
47,42,Glucose_FULL,EQW5,2,Medium1,313,598
48,42,Glucose_FULL,EQW5,3,Medium2,598,883
49,42,Glucose_FULL,EQW5,4,Medium3,883,1168
50,42,Glucose_FULL,EQW5,5,High,1168,1453
51,43,Albumin_FULL,EQW5,1,Low,2,2.76
52,43,Albumin_FULL,EQW5,2,Medium1,2.76,3.52
53,43,Albumin_FULL,EQW5,3,Medium2,3.52,4.28
54,43,Albumin_FULL,EQW5,4,Medium3,4.28,5.04
55,43,Albumin_FULL,EQW5,5,High,5.04,5.8
56,44,Creatinine_FULL,EQW5,1,Low,0.2,3.24
57,44,Creatinine_FULL,EQW5,2,Medium1,3.24,6.28
58,44,Creatinine_FULL,EQW5,3,Medium2,6.28,9.32
59,44,Creatinine_FULL,EQW5,4,Medium3,9.32,12.36
60,44,Creatinine_FULL,EQW5,5,High,12.36,15.4
