StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,Persist3,1,Low,0.43,12.9
2,1,Diabetes,Persist3,2,Medium,12.9,15
3,1,Diabetes,Persist3,3,High,15,242.4
4,2,BetaBlockers,Persist3,1,Low,0.33,9.9
5,2,BetaBlockers,Persist3,2,Medium,9.9,20.1
6,2,BetaBlockers,Persist3,3,High,20.1,239.4
7,3,CCB,Persist3,1,Low,1,15.3
8,3,CCB,Persist3,2,Medium,15.3,22.5
9,3,CCB,Persist3,3,High,22.5,270
10,4,Other,Persist3,1,Low,0.5,21
11,4,Other,Persist3,2,Medium,21,28
12,4,Other,Persist3,3,High,28,377.2
13,5,Statins,Persist3,1,Low,0.67,20.1
14,5,Statins,Persist3,2,Medium,20.1,79.95
15,5,Statins,Persist3,3,High,79.95,500.1
16,6,Ace,Persist3,1,Low,2.5,15
17,6,Ace,Persist3,2,Medium,15,15.2250000000004
18,6,Ace,Persist3,3,High,15.2250000000004,373.52
19,39,HBA1C_FULL,Persist3,1,Low,3.9,5.5
20,39,HBA1C_FULL,Persist3,2,Medium,5.5,5.7
21,39,HBA1C_FULL,Persist3,3,High,5.7,222.7
22,40,LDL_FULL,Persist3,1,Low,2.8,63
23,40,LDL_FULL,Persist3,2,Medium,63,168
24,40,LDL_FULL,Persist3,3,High,168,328.39999
25,41,Cholesterol_FULL,Persist3,1,Low,64,135
26,41,Cholesterol_FULL,Persist3,2,Medium,135,265
27,41,Cholesterol_FULL,Persist3,3,High,265,557
28,42,Glucose_FULL,Persist3,1,Low,28,81
29,42,Glucose_FULL,Persist3,2,Medium,81,87
30,42,Glucose_FULL,Persist3,3,High,87,1453
31,43,Albumin_FULL,Persist3,1,Low,2,3.6
32,43,Albumin_FULL,Persist3,2,Medium,3.6,4.7
33,43,Albumin_FULL,Persist3,3,High,4.7,5.8
34,44,Creatinine_FULL,Persist3,1,Low,0.2,0.56
35,44,Creatinine_FULL,Persist3,2,Medium,0.56,1.36
36,44,Creatinine_FULL,Persist3,3,High,1.36,15.4
