StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Cos3,1,Low,0.43,24.08
2,1,Diabetes,TD4C_Cos3,2,Medium,24.08,38.7
3,1,Diabetes,TD4C_Cos3,3,High,38.7,242.4
4,2,BetaBlockers,TD4C_Cos3,1,Low,0.33,20.1
5,2,BetaBlockers,TD4C_Cos3,2,Medium,20.1,25
6,2,BetaBlockers,TD4C_Cos3,3,High,25,239.4
7,3,CCB,TD4C_Cos3,1,Low,1,22.5
8,3,CCB,TD4C_Cos3,2,Medium,22.5,39.6
9,3,CCB,TD4C_Cos3,3,High,39.6,270
10,4,Other,TD4C_Cos3,1,Low,0.5,30
11,4,Other,TD4C_Cos3,2,Medium,30,60
12,4,Other,TD4C_Cos3,3,High,60,377.2
13,5,Statins,TD4C_Cos3,1,Low,0.67,37.38
14,5,Statins,TD4C_Cos3,2,Medium,37.38,40.05
15,5,Statins,TD4C_Cos3,3,High,40.05,500.1
16,6,Ace,TD4C_Cos3,1,Low,2.5,60
17,6,Ace,TD4C_Cos3,2,Medium,60,112
18,6,Ace,TD4C_Cos3,3,High,112,373.52
19,39,HBA1C_FULL,TD4C_Cos3,1,Low,3.9,6.46
20,39,HBA1C_FULL,TD4C_Cos3,2,Medium,6.46,7
21,39,HBA1C_FULL,TD4C_Cos3,3,High,7,222.7
22,40,LDL_FULL,TD4C_Cos3,1,Low,2.8,81.5
23,40,LDL_FULL,TD4C_Cos3,2,Medium,81.5,109
24,40,LDL_FULL,TD4C_Cos3,3,High,109,328.39999
25,41,Cholesterol_FULL,TD4C_Cos3,1,Low,64,163
26,41,Cholesterol_FULL,TD4C_Cos3,2,Medium,163,185
27,41,Cholesterol_FULL,TD4C_Cos3,3,High,185,557
28,42,Glucose_FULL,TD4C_Cos3,1,Low,28,97
29,42,Glucose_FULL,TD4C_Cos3,2,Medium,97,147
30,42,Glucose_FULL,TD4C_Cos3,3,High,147,1453
31,43,Albumin_FULL,TD4C_Cos3,1,Low,2,4.1
32,43,Albumin_FULL,TD4C_Cos3,2,Medium,4.1,4.3
33,43,Albumin_FULL,TD4C_Cos3,3,High,4.3,5.8
34,44,Creatinine_FULL,TD4C_Cos3,1,Low,0.2,0.69
35,44,Creatinine_FULL,TD4C_Cos3,2,Medium,0.69,0.91
36,44,Creatinine_FULL,TD4C_Cos3,3,High,0.91,15.4
