StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_Ent3,1,Low,0.43,24.08
2,1,Diabetes,TD4C_Ent3,2,Medium,24.08,55.8
3,1,Diabetes,TD4C_Ent3,3,High,55.8,242.4
4,2,BetaBlockers,TD4C_Ent3,1,Low,0.33,10.2
5,2,BetaBlockers,TD4C_Ent3,2,Medium,10.2,18.9
6,2,BetaBlockers,TD4C_Ent3,3,High,18.9,239.4
7,3,CCB,TD4C_Ent3,1,Low,1,22.5
8,3,CCB,TD4C_Ent3,2,Medium,22.5,60
9,3,CCB,TD4C_Ent3,3,High,60,270
10,4,Other,TD4C_Ent3,1,Low,0.5,21
11,4,Other,TD4C_Ent3,2,Medium,21,28
12,4,Other,TD4C_Ent3,3,High,28,377.2
13,5,Statins,TD4C_Ent3,1,Low,0.67,40.05
14,5,Statins,TD4C_Ent3,2,Medium,40.05,60
15,5,Statins,TD4C_Ent3,3,High,60,500.1
16,6,Ace,TD4C_Ent3,1,Low,2.5,15.2250000000004
17,6,Ace,TD4C_Ent3,2,Medium,15.2250000000004,30
18,6,Ace,TD4C_Ent3,3,High,30,373.52
19,39,HBA1C_FULL,TD4C_Ent3,1,Low,3.9,8.1
20,39,HBA1C_FULL,TD4C_Ent3,2,Medium,8.1,9.11
21,39,HBA1C_FULL,TD4C_Ent3,3,High,9.11,222.7
22,40,LDL_FULL,TD4C_Ent3,1,Low,2.8,121
23,40,LDL_FULL,TD4C_Ent3,2,Medium,121,156
24,40,LDL_FULL,TD4C_Ent3,3,High,156,328.39999
25,41,Cholesterol_FULL,TD4C_Ent3,1,Low,64,217
26,41,Cholesterol_FULL,TD4C_Ent3,2,Medium,217,251
27,41,Cholesterol_FULL,TD4C_Ent3,3,High,251,557
28,42,Glucose_FULL,TD4C_Ent3,1,Low,28,85
29,42,Glucose_FULL,TD4C_Ent3,2,Medium,85,187
30,42,Glucose_FULL,TD4C_Ent3,3,High,187,1453
31,43,Albumin_FULL,TD4C_Ent3,1,Low,2,4.4
32,43,Albumin_FULL,TD4C_Ent3,2,Medium,4.4,4.6
33,43,Albumin_FULL,TD4C_Ent3,3,High,4.6,5.8
34,44,Creatinine_FULL,TD4C_Ent3,1,Low,0.2,0.56
35,44,Creatinine_FULL,TD4C_Ent3,2,Medium,0.56,1.15
36,44,Creatinine_FULL,TD4C_Ent3,3,High,1.15,15.4
