StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,Diabetes,TD4C_KL5,1,Low,0.43,15
2,1,Diabetes,TD4C_KL5,2,Medium1,15,24.08
3,1,Diabetes,TD4C_KL5,3,Medium2,24.08,30
4,1,Diabetes,TD4C_KL5,4,Medium3,30,55.8
5,1,Diabetes,TD4C_KL5,5,High,55.8,242.4
6,2,BetaBlockers,TD4C_KL5,1,Low,0.33,6.7
7,2,BetaBlockers,TD4C_KL5,2,Medium1,6.7,9.9
8,2,BetaBlockers,TD4C_KL5,3,Medium2,9.9,9.9
9,2,BetaBlockers,TD4C_KL5,4,Medium3,9.9,9.9
10,2,BetaBlockers,TD4C_KL5,5,High,9.9,239.4
11,3,CCB,TD4C_KL5,1,Low,1,15.3
12,3,CCB,TD4C_KL5,2,Medium1,15.3,20.1
13,3,CCB,TD4C_KL5,3,Medium2,20.1,30
14,3,CCB,TD4C_KL5,4,Medium3,30,30
15,3,CCB,TD4C_KL5,5,High,30,270
16,4,Other,TD4C_KL5,1,Low,0.5,21
17,4,Other,TD4C_KL5,2,Medium1,21,28
18,4,Other,TD4C_KL5,3,Medium2,28,28
19,4,Other,TD4C_KL5,4,Medium3,28,28
20,4,Other,TD4C_KL5,5,High,28,377.2
21,5,Statins,TD4C_KL5,1,Low,0.67,20.1
22,5,Statins,TD4C_KL5,2,Medium1,20.1,20.1
23,5,Statins,TD4C_KL5,3,Medium2,20.1,37.38
24,5,Statins,TD4C_KL5,4,Medium3,37.38,60
25,5,Statins,TD4C_KL5,5,High,60,500.1
26,6,Ace,TD4C_KL5,1,Low,2.5,15
27,6,Ace,TD4C_KL5,2,Medium1,15,15
28,6,Ace,TD4C_KL5,3,Medium2,15,15
29,6,Ace,TD4C_KL5,4,Medium3,15,20
30,6,Ace,TD4C_KL5,5,High,20,373.52
31,39,HBA1C_FULL,TD4C_KL5,1,Low,3.9,6.46
32,39,HBA1C_FULL,TD4C_KL5,2,Medium1,6.46,7.21
33,39,HBA1C_FULL,TD4C_KL5,3,Medium2,7.21,7.6
34,39,HBA1C_FULL,TD4C_KL5,4,Medium3,7.6,8.1
35,39,HBA1C_FULL,TD4C_KL5,5,High,8.1,222.7
36,40,LDL_FULL,TD4C_KL5,1,Low,2.8,72
37,40,LDL_FULL,TD4C_KL5,2,Medium1,72,95
38,40,LDL_FULL,TD4C_KL5,3,Medium2,95,121
39,40,LDL_FULL,TD4C_KL5,4,Medium3,121,128.8
40,40,LDL_FULL,TD4C_KL5,5,High,128.8,328.39999
41,41,Cholesterol_FULL,TD4C_KL5,1,Low,64,147
42,41,Cholesterol_FULL,TD4C_KL5,2,Medium1,147,155
43,41,Cholesterol_FULL,TD4C_KL5,3,Medium2,155,234
44,41,Cholesterol_FULL,TD4C_KL5,4,Medium3,234,251
45,41,Cholesterol_FULL,TD4C_KL5,5,High,251,557
46,42,Glucose_FULL,TD4C_KL5,1,Low,28,89
47,42,Glucose_FULL,TD4C_KL5,2,Medium1,89,96
48,42,Glucose_FULL,TD4C_KL5,3,Medium2,96,109
49,42,Glucose_FULL,TD4C_KL5,4,Medium3,109,147
50,42,Glucose_FULL,TD4C_KL5,5,High,147,1453
51,43,Albumin_FULL,TD4C_KL5,1,Low,2,4
52,43,Albumin_FULL,TD4C_KL5,2,Medium1,4,4.1
53,43,Albumin_FULL,TD4C_KL5,3,Medium2,4.1,4.3
54,43,Albumin_FULL,TD4C_KL5,4,Medium3,4.3,4.33
55,43,Albumin_FULL,TD4C_KL5,5,High,4.33,5.8
56,44,Creatinine_FULL,TD4C_KL5,1,Low,0.2,0.56
57,44,Creatinine_FULL,TD4C_KL5,2,Medium1,0.56,1
58,44,Creatinine_FULL,TD4C_KL5,3,Medium2,1,1.02
59,44,Creatinine_FULL,TD4C_KL5,4,Medium3,1.02,1.1
60,44,Creatinine_FULL,TD4C_KL5,5,High,1.1,15.4
