StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,SAX5,1,Low,7.5,31.5832481400945
2,1,NewInsulin,SAX5,2,Medium1,31.5832481400945,46.2873194577722
3,1,NewInsulin,SAX5,3,Medium2,46.2873194577722,58.9493669327603
4,1,NewInsulin,SAX5,4,Medium3,58.9493669327603,73.6534382504381
5,1,NewInsulin,SAX5,5,High,73.6534382504381,150
6,2,OldInsulin,SAX5,1,Low,25,28.727539439724
7,2,OldInsulin,SAX5,2,Medium1,28.727539439724,38.8820218503441
8,2,OldInsulin,SAX5,3,Medium2,38.8820218503441,47.6263033210565
9,2,OldInsulin,SAX5,4,Medium3,47.6263033210565,57.7807857316766
10,2,OldInsulin,SAX5,5,High,57.7807857316766,150
11,3,Oral,SAX5,1,Low,0.43,11.9053278854962
12,3,Oral,SAX5,2,Medium1,11.9053278854962,22.0233561594306
13,3,Oral,SAX5,3,Medium2,22.0233561594306,30.7362460516202
14,3,Oral,SAX5,4,Medium3,30.7362460516202,40.8542743255546
15,3,Oral,SAX5,5,High,40.8542743255546,231.6
16,4,BetaBlockers,SAX5,1,Low,0.33,10.8363391827735
17,4,BetaBlockers,SAX5,2,Medium1,10.8363391827735,18.6947718028964
18,4,BetaBlockers,SAX5,3,Medium2,18.6947718028964,25.461866763553
19,4,BetaBlockers,SAX5,4,Medium3,25.461866763553,33.320299383676
20,4,BetaBlockers,SAX5,5,High,33.320299383676,239.4
21,5,CCB,SAX5,1,Low,1,21.7020963582668
22,5,CCB,SAX5,2,Medium1,21.7020963582668,32.0811011979548
23,5,CCB,SAX5,3,Medium2,32.0811011979548,41.0187246074159
24,5,CCB,SAX5,4,Medium3,41.0187246074159,51.397729447104
25,5,CCB,SAX5,5,High,51.397729447104,270
26,6,Other,SAX5,1,Low,0.5,20.0073246729118
27,6,Other,SAX5,2,Medium1,20.0073246729118,34.9234727518904
28,6,Other,SAX5,3,Medium2,34.9234727518904,47.7681448865336
29,6,Other,SAX5,4,Medium3,47.7681448865336,62.6842929655122
30,6,Other,SAX5,5,High,62.6842929655122,377.2
31,7,Statins1,SAX5,1,Low,1,19.9891874355209
32,7,Statins1,SAX5,2,Medium1,19.9891874355209,35.4907825150481
33,7,Statins1,SAX5,3,Medium2,35.4907825150481,48.8395978597507
34,7,Statins1,SAX5,4,Medium3,48.8395978597507,64.341192939278
35,7,Statins1,SAX5,5,High,64.341192939278,480
36,8,Statins2,SAX5,1,Low,0.67,14.7237117746886
37,8,Statins2,SAX5,2,Medium1,14.7237117746886,19.5407604646449
38,8,Statins2,SAX5,3,Medium2,19.5407604646449,23.6888428483469
39,8,Statins2,SAX5,4,Medium3,23.6888428483469,28.5058915383032
40,8,Statins2,SAX5,5,High,28.5058915383032,80.4
41,9,Ace1,SAX5,1,Low,2.5,18.3662813716361
42,9,Ace1,SAX5,2,Medium1,18.3662813716361,38.9403787445132
43,9,Ace1,SAX5,3,Medium2,38.9403787445132,56.6572540277012
44,9,Ace1,SAX5,4,Medium3,56.6572540277012,77.2313514005783
45,9,Ace1,SAX5,5,High,77.2313514005783,373.52
46,39,HBA1C_FULL,SAX5,1,Low,3.9,4.36656087168576
47,39,HBA1C_FULL,SAX5,2,Medium1,4.36656087168576,6.47929697465719
48,39,HBA1C_FULL,SAX5,3,Medium2,6.47929697465719,8.29862743490761
49,39,HBA1C_FULL,SAX5,4,Medium3,8.29862743490761,10.411363537879
50,39,HBA1C_FULL,SAX5,5,High,10.411363537879,222.7
51,40,LDL_FULL,SAX5,1,Low,2.8,83.4240207294256
52,40,LDL_FULL,SAX5,2,Medium1,83.4240207294256,102.54334126682
53,40,LDL_FULL,SAX5,3,Medium2,102.54334126682,119.007471445715
54,40,LDL_FULL,SAX5,4,Medium3,119.007471445715,138.12679198311
55,40,LDL_FULL,SAX5,5,High,138.12679198311,328.39999
56,41,Cholesterol_FULL,SAX5,1,Low,64,160.404157159356
57,41,Cholesterol_FULL,SAX5,2,Medium1,160.404157159356,184.804497689831
58,41,Cholesterol_FULL,SAX5,3,Medium2,184.804497689831,205.816247668989
59,41,Cholesterol_FULL,SAX5,4,Medium3,205.816247668989,230.216588199464
60,41,Cholesterol_FULL,SAX5,5,High,230.216588199464,557
61,42,Glucose_FULL,SAX5,1,Low,28,93.865150411031
62,42,Glucose_FULL,SAX5,2,Medium1,93.865150411031,128.340531806423
63,42,Glucose_FULL,SAX5,3,Medium2,128.340531806423,158.028154133307
64,42,Glucose_FULL,SAX5,4,Medium3,158.028154133307,192.503535528699
65,42,Glucose_FULL,SAX5,5,High,192.503535528699,1453
66,43,Albumin_FULL,SAX5,1,Low,2,3.8826620084594
67,43,Albumin_FULL,SAX5,2,Medium1,3.8826620084594,4.09140800636231
68,43,Albumin_FULL,SAX5,3,Medium2,4.09140800636231,4.2711644614662
69,43,Albumin_FULL,SAX5,4,Medium3,4.2711644614662,4.47991045936911
70,43,Albumin_FULL,SAX5,5,High,4.47991045936911,5.8
71,44,Creatinine_FULL,SAX5,1,Low,0.2,0.580790264852805
72,44,Creatinine_FULL,SAX5,2,Medium1,0.580790264852805,0.820310436970514
73,44,Creatinine_FULL,SAX5,3,Medium2,0.820310436970514,1.02656731134555
74,44,Creatinine_FULL,SAX5,4,Medium3,1.02656731134555,1.26608748346326
75,44,Creatinine_FULL,SAX5,5,High,1.26608748346326,15.4
