StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,TD4C_Cos3,1,Low,7.5,33.875
2,1,NewInsulin,TD4C_Cos3,2,Medium,33.875,50.35
3,1,NewInsulin,TD4C_Cos3,3,High,50.35,150
4,2,OldInsulin,TD4C_Cos3,1,Low,25,33.3333333333333
5,2,OldInsulin,TD4C_Cos3,2,Medium,33.3333333333333,56.25
6,2,OldInsulin,TD4C_Cos3,3,High,56.25,150
7,3,Oral,TD4C_Cos3,1,Low,0.43,25.8
8,3,Oral,TD4C_Cos3,2,Medium,25.8,29.7
9,3,Oral,TD4C_Cos3,3,High,29.7,231.6
10,4,BetaBlockers,TD4C_Cos3,1,Low,0.33,17.64
11,4,BetaBlockers,TD4C_Cos3,2,Medium,17.64,37.24
12,4,BetaBlockers,TD4C_Cos3,3,High,37.24,239.4
13,5,CCB,TD4C_Cos3,1,Low,1,30
14,5,CCB,TD4C_Cos3,2,Medium,30,40.2
15,5,CCB,TD4C_Cos3,3,High,40.2,270
16,6,Other,TD4C_Cos3,1,Low,0.5,30
17,6,Other,TD4C_Cos3,2,Medium,30,33.75
18,6,Other,TD4C_Cos3,3,High,33.75,377.2
19,7,Statins1,TD4C_Cos3,1,Low,1,37.24
20,7,Statins1,TD4C_Cos3,2,Medium,37.24,40.05
21,7,Statins1,TD4C_Cos3,3,High,40.05,480
22,8,Statins2,TD4C_Cos3,1,Low,0.67,20.1
23,8,Statins2,TD4C_Cos3,2,Medium,20.1,29.7
24,8,Statins2,TD4C_Cos3,3,High,29.7,80.4
25,9,Ace1,TD4C_Cos3,1,Low,2.5,30
26,9,Ace1,TD4C_Cos3,2,Medium,30,45
27,9,Ace1,TD4C_Cos3,3,High,45,373.52
28,39,HBA1C_FULL,TD4C_Cos3,1,Low,3.9,5.9
29,39,HBA1C_FULL,TD4C_Cos3,2,Medium,5.9,7.1
30,39,HBA1C_FULL,TD4C_Cos3,3,High,7.1,222.7
31,40,LDL_FULL,TD4C_Cos3,1,Low,2.8,79
32,40,LDL_FULL,TD4C_Cos3,2,Medium,79,111.2
33,40,LDL_FULL,TD4C_Cos3,3,High,111.2,328.39999
34,41,Cholesterol_FULL,TD4C_Cos3,1,Low,64,186
35,41,Cholesterol_FULL,TD4C_Cos3,2,Medium,186,213
36,41,Cholesterol_FULL,TD4C_Cos3,3,High,213,557
37,42,Glucose_FULL,TD4C_Cos3,1,Low,28,101
38,42,Glucose_FULL,TD4C_Cos3,2,Medium,101,142
39,42,Glucose_FULL,TD4C_Cos3,3,High,142,1453
40,43,Albumin_FULL,TD4C_Cos3,1,Low,2,4
41,43,Albumin_FULL,TD4C_Cos3,2,Medium,4,4.14
42,43,Albumin_FULL,TD4C_Cos3,3,High,4.14,5.8
43,44,Creatinine_FULL,TD4C_Cos3,1,Low,0.2,0.9
44,44,Creatinine_FULL,TD4C_Cos3,2,Medium,0.9,0.98
45,44,Creatinine_FULL,TD4C_Cos3,3,High,0.98,15.4
