StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,TD4C_Ent5,1,Low,7.5,33.875
2,1,NewInsulin,TD4C_Ent5,2,Medium1,33.875,37.5
3,1,NewInsulin,TD4C_Ent5,3,Medium2,37.5,55.6125
4,1,NewInsulin,TD4C_Ent5,4,Medium3,55.6125,75
5,1,NewInsulin,TD4C_Ent5,5,High,75,150
6,2,OldInsulin,TD4C_Ent5,1,Low,25,25
7,2,OldInsulin,TD4C_Ent5,2,Medium1,25,37.5
8,2,OldInsulin,TD4C_Ent5,3,Medium2,37.5,75
9,2,OldInsulin,TD4C_Ent5,4,Medium3,75,75
10,2,OldInsulin,TD4C_Ent5,5,High,75,150
11,3,Oral,TD4C_Ent5,1,Low,0.43,30
12,3,Oral,TD4C_Ent5,2,Medium1,30,37.5
13,3,Oral,TD4C_Ent5,3,Medium2,37.5,40.8
14,3,Oral,TD4C_Ent5,4,Medium3,40.8,53.7
15,3,Oral,TD4C_Ent5,5,High,53.7,231.6
16,4,BetaBlockers,TD4C_Ent5,1,Low,0.33,30
17,4,BetaBlockers,TD4C_Ent5,2,Medium1,30,35.56
18,4,BetaBlockers,TD4C_Ent5,3,Medium2,35.56,39.9
19,4,BetaBlockers,TD4C_Ent5,4,Medium3,39.9,40.2
20,4,BetaBlockers,TD4C_Ent5,5,High,40.2,239.4
21,5,CCB,TD4C_Ent5,1,Low,1,15.348
22,5,CCB,TD4C_Ent5,2,Medium1,15.348,30
23,5,CCB,TD4C_Ent5,3,Medium2,30,30
24,5,CCB,TD4C_Ent5,4,Medium3,30,30
25,5,CCB,TD4C_Ent5,5,High,30,270
26,6,Other,TD4C_Ent5,1,Low,0.5,33.75
27,6,Other,TD4C_Ent5,2,Medium1,33.75,48
28,6,Other,TD4C_Ent5,3,Medium2,48,60.7360000000001
29,6,Other,TD4C_Ent5,4,Medium3,60.7360000000001,90
30,6,Other,TD4C_Ent5,5,High,90,377.2
31,7,Statins1,TD4C_Ent5,1,Low,1,20.1
32,7,Statins1,TD4C_Ent5,2,Medium1,20.1,37.24
33,7,Statins1,TD4C_Ent5,3,Medium2,37.24,54.9
34,7,Statins1,TD4C_Ent5,4,Medium3,54.9,80.1
35,7,Statins1,TD4C_Ent5,5,High,80.1,480
36,8,Statins2,TD4C_Ent5,1,Low,0.67,20.1
37,8,Statins2,TD4C_Ent5,2,Medium1,20.1,20.1
38,8,Statins2,TD4C_Ent5,3,Medium2,20.1,29.7
39,8,Statins2,TD4C_Ent5,4,Medium3,29.7,40.2
40,8,Statins2,TD4C_Ent5,5,High,40.2,80.4
41,9,Ace1,TD4C_Ent5,1,Low,2.5,56
42,9,Ace1,TD4C_Ent5,2,Medium1,56,60
43,9,Ace1,TD4C_Ent5,3,Medium2,60,112
44,9,Ace1,TD4C_Ent5,4,Medium3,112,120
45,9,Ace1,TD4C_Ent5,5,High,120,373.52
46,39,HBA1C_FULL,TD4C_Ent5,1,Low,3.9,7.94
47,39,HBA1C_FULL,TD4C_Ent5,2,Medium1,7.94,8.34
48,39,HBA1C_FULL,TD4C_Ent5,3,Medium2,8.34,9
49,39,HBA1C_FULL,TD4C_Ent5,4,Medium3,9,10.9
50,39,HBA1C_FULL,TD4C_Ent5,5,High,10.9,222.7
51,40,LDL_FULL,TD4C_Ent5,1,Low,2.8,70
52,40,LDL_FULL,TD4C_Ent5,2,Medium1,70,137
53,40,LDL_FULL,TD4C_Ent5,3,Medium2,137,144
54,40,LDL_FULL,TD4C_Ent5,4,Medium3,144,168
55,40,LDL_FULL,TD4C_Ent5,5,High,168,328.39999
56,41,Cholesterol_FULL,TD4C_Ent5,1,Low,64,135
57,41,Cholesterol_FULL,TD4C_Ent5,2,Medium1,135,153
58,41,Cholesterol_FULL,TD4C_Ent5,3,Medium2,153,227
59,41,Cholesterol_FULL,TD4C_Ent5,4,Medium3,227,254
60,41,Cholesterol_FULL,TD4C_Ent5,5,High,254,557
61,42,Glucose_FULL,TD4C_Ent5,1,Low,28,166
62,42,Glucose_FULL,TD4C_Ent5,2,Medium1,166,184
63,42,Glucose_FULL,TD4C_Ent5,3,Medium2,184,211
64,42,Glucose_FULL,TD4C_Ent5,4,Medium3,211,262
65,42,Glucose_FULL,TD4C_Ent5,5,High,262,1453
66,43,Albumin_FULL,TD4C_Ent5,1,Low,2,3.69
67,43,Albumin_FULL,TD4C_Ent5,2,Medium1,3.69,3.81
68,43,Albumin_FULL,TD4C_Ent5,3,Medium2,3.81,3.92
69,43,Albumin_FULL,TD4C_Ent5,4,Medium3,3.92,4
70,43,Albumin_FULL,TD4C_Ent5,5,High,4,5.8
71,44,Creatinine_FULL,TD4C_Ent5,1,Low,0.2,1
72,44,Creatinine_FULL,TD4C_Ent5,2,Medium1,1,1.06
73,44,Creatinine_FULL,TD4C_Ent5,3,Medium2,1.06,1.15
74,44,Creatinine_FULL,TD4C_Ent5,4,Medium3,1.15,1.36
75,44,Creatinine_FULL,TD4C_Ent5,5,High,1.36,15.4
