StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,EQW5,1,Low,7.5,36
2,1,NewInsulin,EQW5,2,Medium1,36,64.5
3,1,NewInsulin,EQW5,3,Medium2,64.5,93
4,1,NewInsulin,EQW5,4,Medium3,93,121.5
5,1,NewInsulin,EQW5,5,High,121.5,150
6,2,OldInsulin,EQW5,1,Low,25,50
7,2,OldInsulin,EQW5,2,Medium1,50,75
8,2,OldInsulin,EQW5,3,Medium2,75,100
9,2,OldInsulin,EQW5,4,Medium3,100,125
10,2,OldInsulin,EQW5,5,High,125,150
11,3,Oral,EQW5,1,Low,0.43,46.664
12,3,Oral,EQW5,2,Medium1,46.664,92.898
13,3,Oral,EQW5,3,Medium2,92.898,139.132
14,3,Oral,EQW5,4,Medium3,139.132,185.366
15,3,Oral,EQW5,5,High,185.366,231.6
16,4,BetaBlockers,EQW5,1,Low,0.33,48.144
17,4,BetaBlockers,EQW5,2,Medium1,48.144,95.958
18,4,BetaBlockers,EQW5,3,Medium2,95.958,143.772
19,4,BetaBlockers,EQW5,4,Medium3,143.772,191.586
20,4,BetaBlockers,EQW5,5,High,191.586,239.4
21,5,CCB,EQW5,1,Low,1,54.8
22,5,CCB,EQW5,2,Medium1,54.8,108.6
23,5,CCB,EQW5,3,Medium2,108.6,162.4
24,5,CCB,EQW5,4,Medium3,162.4,216.2
25,5,CCB,EQW5,5,High,216.2,270
26,6,Other,EQW5,1,Low,0.5,75.84
27,6,Other,EQW5,2,Medium1,75.84,151.18
28,6,Other,EQW5,3,Medium2,151.18,226.52
29,6,Other,EQW5,4,Medium3,226.52,301.86
30,6,Other,EQW5,5,High,301.86,377.2
31,7,Statins1,EQW5,1,Low,1,96.8
32,7,Statins1,EQW5,2,Medium1,96.8,192.6
33,7,Statins1,EQW5,3,Medium2,192.6,288.4
34,7,Statins1,EQW5,4,Medium3,288.4,384.2
35,7,Statins1,EQW5,5,High,384.2,480
36,8,Statins2,EQW5,1,Low,0.67,16.616
37,8,Statins2,EQW5,2,Medium1,16.616,32.562
38,8,Statins2,EQW5,3,Medium2,32.562,48.508
39,8,Statins2,EQW5,4,Medium3,48.508,64.454
40,8,Statins2,EQW5,5,High,64.454,80.4
41,9,Ace1,EQW5,1,Low,2.5,76.704
42,9,Ace1,EQW5,2,Medium1,76.704,150.908
43,9,Ace1,EQW5,3,Medium2,150.908,225.112
44,9,Ace1,EQW5,4,Medium3,225.112,299.316
45,9,Ace1,EQW5,5,High,299.316,373.52
46,39,HBA1C_FULL,EQW5,1,Low,3.9,47.66
47,39,HBA1C_FULL,EQW5,2,Medium1,47.66,91.42
48,39,HBA1C_FULL,EQW5,3,Medium2,91.42,135.18
49,39,HBA1C_FULL,EQW5,4,Medium3,135.18,178.94
50,39,HBA1C_FULL,EQW5,5,High,178.94,222.7
51,40,LDL_FULL,EQW5,1,Low,2.8,67.919998
52,40,LDL_FULL,EQW5,2,Medium1,67.919998,133.039996
53,40,LDL_FULL,EQW5,3,Medium2,133.039996,198.159994
54,40,LDL_FULL,EQW5,4,Medium3,198.159994,263.279992
55,40,LDL_FULL,EQW5,5,High,263.279992,328.39999
56,41,Cholesterol_FULL,EQW5,1,Low,64,162.6
57,41,Cholesterol_FULL,EQW5,2,Medium1,162.6,261.2
58,41,Cholesterol_FULL,EQW5,3,Medium2,261.2,359.8
59,41,Cholesterol_FULL,EQW5,4,Medium3,359.8,458.4
60,41,Cholesterol_FULL,EQW5,5,High,458.4,557
61,42,Glucose_FULL,EQW5,1,Low,28,313
62,42,Glucose_FULL,EQW5,2,Medium1,313,598
63,42,Glucose_FULL,EQW5,3,Medium2,598,883
64,42,Glucose_FULL,EQW5,4,Medium3,883,1168
65,42,Glucose_FULL,EQW5,5,High,1168,1453
66,43,Albumin_FULL,EQW5,1,Low,2,2.76
67,43,Albumin_FULL,EQW5,2,Medium1,2.76,3.52
68,43,Albumin_FULL,EQW5,3,Medium2,3.52,4.28
69,43,Albumin_FULL,EQW5,4,Medium3,4.28,5.04
70,43,Albumin_FULL,EQW5,5,High,5.04,5.8
71,44,Creatinine_FULL,EQW5,1,Low,0.2,3.24
72,44,Creatinine_FULL,EQW5,2,Medium1,3.24,6.28
73,44,Creatinine_FULL,EQW5,3,Medium2,6.28,9.32
74,44,Creatinine_FULL,EQW5,4,Medium3,9.32,12.36
75,44,Creatinine_FULL,EQW5,5,High,12.36,15.4
