StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,Persist3,1,Low,7.5,15
2,1,NewInsulin,Persist3,2,Medium,15,55.6125
3,1,NewInsulin,Persist3,3,High,55.6125,150
4,2,OldInsulin,Persist3,1,Low,25,33.3333333333333
5,2,OldInsulin,Persist3,2,Medium,33.3333333333333,37.5
6,2,OldInsulin,Persist3,3,High,37.5,150
7,3,Oral,Persist3,1,Low,0.43,12.9
8,3,Oral,Persist3,2,Medium,12.9,15
9,3,Oral,Persist3,3,High,15,231.6
10,4,BetaBlockers,Persist3,1,Low,0.33,9.9
11,4,BetaBlockers,Persist3,2,Medium,9.9,20.1
12,4,BetaBlockers,Persist3,3,High,20.1,239.4
13,5,CCB,Persist3,1,Low,1,15.3
14,5,CCB,Persist3,2,Medium,15.3,22.5
15,5,CCB,Persist3,3,High,22.5,270
16,6,Other,Persist3,1,Low,0.5,21
17,6,Other,Persist3,2,Medium,21,28
18,6,Other,Persist3,3,High,28,377.2
19,7,Statins1,Persist3,1,Low,1,20.1
20,7,Statins1,Persist3,2,Medium,20.1,30
21,7,Statins1,Persist3,3,High,30,480
22,8,Statins2,Persist3,1,Low,0.67,20.1
23,8,Statins2,Persist3,2,Medium,20.1,20.1
24,8,Statins2,Persist3,3,High,20.1,80.4
25,9,Ace1,Persist3,1,Low,2.5,15
26,9,Ace1,Persist3,2,Medium,15,15.2250000000004
27,9,Ace1,Persist3,3,High,15.2250000000004,373.52
28,39,HBA1C_FULL,Persist3,1,Low,3.9,5.5
29,39,HBA1C_FULL,Persist3,2,Medium,5.5,5.7
30,39,HBA1C_FULL,Persist3,3,High,5.7,222.7
31,40,LDL_FULL,Persist3,1,Low,2.8,63
32,40,LDL_FULL,Persist3,2,Medium,63,168
33,40,LDL_FULL,Persist3,3,High,168,328.39999
34,41,Cholesterol_FULL,Persist3,1,Low,64,135
35,41,Cholesterol_FULL,Persist3,2,Medium,135,265
36,41,Cholesterol_FULL,Persist3,3,High,265,557
37,42,Glucose_FULL,Persist3,1,Low,28,81
38,42,Glucose_FULL,Persist3,2,Medium,81,87
39,42,Glucose_FULL,Persist3,3,High,87,1453
40,43,Albumin_FULL,Persist3,1,Low,2,3.6
41,43,Albumin_FULL,Persist3,2,Medium,3.6,4.7
42,43,Albumin_FULL,Persist3,3,High,4.7,5.8
43,44,Creatinine_FULL,Persist3,1,Low,0.2,0.56
44,44,Creatinine_FULL,Persist3,2,Medium,0.56,1.36
45,44,Creatinine_FULL,Persist3,3,High,1.36,15.4
