StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,TD4C_Cos5,1,Low,7.5,33.875
2,1,NewInsulin,TD4C_Cos5,2,Medium1,33.875,37.5
3,1,NewInsulin,TD4C_Cos5,3,Medium2,37.5,40.875
4,1,NewInsulin,TD4C_Cos5,4,Medium3,40.875,72.95
5,1,NewInsulin,TD4C_Cos5,5,High,72.95,150
6,2,OldInsulin,TD4C_Cos5,1,Low,25,25
7,2,OldInsulin,TD4C_Cos5,2,Medium1,25,37.5
8,2,OldInsulin,TD4C_Cos5,3,Medium2,37.5,37.5
9,2,OldInsulin,TD4C_Cos5,4,Medium3,37.5,50
10,2,OldInsulin,TD4C_Cos5,5,High,50,150
11,3,Oral,TD4C_Cos5,1,Low,0.43,12.9
12,3,Oral,TD4C_Cos5,2,Medium1,12.9,20.4
13,3,Oral,TD4C_Cos5,3,Medium2,20.4,29.7
14,3,Oral,TD4C_Cos5,4,Medium3,29.7,57.9
15,3,Oral,TD4C_Cos5,5,High,57.9,231.6
16,4,BetaBlockers,TD4C_Cos5,1,Low,0.33,15
17,4,BetaBlockers,TD4C_Cos5,2,Medium1,15,20.1
18,4,BetaBlockers,TD4C_Cos5,3,Medium2,20.1,33.5
19,4,BetaBlockers,TD4C_Cos5,4,Medium3,33.5,39.9
20,4,BetaBlockers,TD4C_Cos5,5,High,39.9,239.4
21,5,CCB,TD4C_Cos5,1,Low,1,30
22,5,CCB,TD4C_Cos5,2,Medium1,30,30
23,5,CCB,TD4C_Cos5,3,Medium2,30,30
24,5,CCB,TD4C_Cos5,4,Medium3,30,39.6
25,5,CCB,TD4C_Cos5,5,High,39.6,270
26,6,Other,TD4C_Cos5,1,Low,0.5,30
27,6,Other,TD4C_Cos5,2,Medium1,30,33.75
28,6,Other,TD4C_Cos5,3,Medium2,33.75,48
29,6,Other,TD4C_Cos5,4,Medium3,48,67.5
30,6,Other,TD4C_Cos5,5,High,67.5,377.2
31,7,Statins1,TD4C_Cos5,1,Low,1,39.9
32,7,Statins1,TD4C_Cos5,2,Medium1,39.9,39.9
33,7,Statins1,TD4C_Cos5,3,Medium2,39.9,40.05
34,7,Statins1,TD4C_Cos5,4,Medium3,40.05,40.2
35,7,Statins1,TD4C_Cos5,5,High,40.2,480
36,8,Statins2,TD4C_Cos5,1,Low,0.67,19.8
37,8,Statins2,TD4C_Cos5,2,Medium1,19.8,20.1
38,8,Statins2,TD4C_Cos5,3,Medium2,20.1,29.7
39,8,Statins2,TD4C_Cos5,4,Medium3,29.7,30.15
40,8,Statins2,TD4C_Cos5,5,High,30.15,80.4
41,9,Ace1,TD4C_Cos5,1,Low,2.5,28
42,9,Ace1,TD4C_Cos5,2,Medium1,28,37.24
43,9,Ace1,TD4C_Cos5,3,Medium2,37.24,60
44,9,Ace1,TD4C_Cos5,4,Medium3,60,74.76
45,9,Ace1,TD4C_Cos5,5,High,74.76,373.52
46,39,HBA1C_FULL,TD4C_Cos5,1,Low,3.9,6.17
47,39,HBA1C_FULL,TD4C_Cos5,2,Medium1,6.17,6.8
48,39,HBA1C_FULL,TD4C_Cos5,3,Medium2,6.8,7.21
49,39,HBA1C_FULL,TD4C_Cos5,4,Medium3,7.21,8
50,39,HBA1C_FULL,TD4C_Cos5,5,High,8,222.7
51,40,LDL_FULL,TD4C_Cos5,1,Low,2.8,90
52,40,LDL_FULL,TD4C_Cos5,2,Medium1,90,98
53,40,LDL_FULL,TD4C_Cos5,3,Medium2,98,108.1
54,40,LDL_FULL,TD4C_Cos5,4,Medium3,108.1,132
55,40,LDL_FULL,TD4C_Cos5,5,High,132,328.39999
56,41,Cholesterol_FULL,TD4C_Cos5,1,Low,64,171
57,41,Cholesterol_FULL,TD4C_Cos5,2,Medium1,171,188
58,41,Cholesterol_FULL,TD4C_Cos5,3,Medium2,188,199
59,41,Cholesterol_FULL,TD4C_Cos5,4,Medium3,199,212
60,41,Cholesterol_FULL,TD4C_Cos5,5,High,212,557
61,42,Glucose_FULL,TD4C_Cos5,1,Low,28,102
62,42,Glucose_FULL,TD4C_Cos5,2,Medium1,102,118
63,42,Glucose_FULL,TD4C_Cos5,3,Medium2,118,135
64,42,Glucose_FULL,TD4C_Cos5,4,Medium3,135,150
65,42,Glucose_FULL,TD4C_Cos5,5,High,150,1453
66,43,Albumin_FULL,TD4C_Cos5,1,Low,2,4.03
67,43,Albumin_FULL,TD4C_Cos5,2,Medium1,4.03,4.2
68,43,Albumin_FULL,TD4C_Cos5,3,Medium2,4.2,4.3
69,43,Albumin_FULL,TD4C_Cos5,4,Medium3,4.3,4.33
70,43,Albumin_FULL,TD4C_Cos5,5,High,4.33,5.8
71,44,Creatinine_FULL,TD4C_Cos5,1,Low,0.2,0.76
72,44,Creatinine_FULL,TD4C_Cos5,2,Medium1,0.76,0.81
73,44,Creatinine_FULL,TD4C_Cos5,3,Medium2,0.81,0.88
74,44,Creatinine_FULL,TD4C_Cos5,4,Medium3,0.88,0.95
75,44,Creatinine_FULL,TD4C_Cos5,5,High,0.95,15.4
