StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,TD4C_Ent3,1,Low,7.5,33.875
2,1,NewInsulin,TD4C_Ent3,2,Medium,33.875,37.5
3,1,NewInsulin,TD4C_Ent3,3,High,37.5,150
4,2,OldInsulin,TD4C_Ent3,1,Low,25,50
5,2,OldInsulin,TD4C_Ent3,2,Medium,50,56.25
6,2,OldInsulin,TD4C_Ent3,3,High,56.25,150
7,3,Oral,TD4C_Ent3,1,Low,0.43,32.25
8,3,Oral,TD4C_Ent3,2,Medium,32.25,42.9
9,3,Oral,TD4C_Ent3,3,High,42.9,231.6
10,4,BetaBlockers,TD4C_Ent3,1,Low,0.33,9.9
11,4,BetaBlockers,TD4C_Ent3,2,Medium,9.9,13.4
12,4,BetaBlockers,TD4C_Ent3,3,High,13.4,239.4
13,5,CCB,TD4C_Ent3,1,Low,1,15.3
14,5,CCB,TD4C_Ent3,2,Medium,15.3,30
15,5,CCB,TD4C_Ent3,3,High,30,270
16,6,Other,TD4C_Ent3,1,Low,0.5,58
17,6,Other,TD4C_Ent3,2,Medium,58,60
18,6,Other,TD4C_Ent3,3,High,60,377.2
19,7,Statins1,TD4C_Ent3,1,Low,1,20.1
20,7,Statins1,TD4C_Ent3,2,Medium,20.1,37.24
21,7,Statins1,TD4C_Ent3,3,High,37.24,480
22,8,Statins2,TD4C_Ent3,1,Low,0.67,19.8
23,8,Statins2,TD4C_Ent3,2,Medium,19.8,30.15
24,8,Statins2,TD4C_Ent3,3,High,30.15,80.4
25,9,Ace1,TD4C_Ent3,1,Low,2.5,28
26,9,Ace1,TD4C_Ent3,2,Medium,28,112
27,9,Ace1,TD4C_Ent3,3,High,112,373.52
28,39,HBA1C_FULL,TD4C_Ent3,1,Low,3.9,8.3
29,39,HBA1C_FULL,TD4C_Ent3,2,Medium,8.3,8.84
30,39,HBA1C_FULL,TD4C_Ent3,3,High,8.84,222.7
31,40,LDL_FULL,TD4C_Ent3,1,Low,2.8,68.8
32,40,LDL_FULL,TD4C_Ent3,2,Medium,68.8,77
33,40,LDL_FULL,TD4C_Ent3,3,High,77,328.39999
34,41,Cholesterol_FULL,TD4C_Ent3,1,Low,64,155
35,41,Cholesterol_FULL,TD4C_Ent3,2,Medium,155,168
36,41,Cholesterol_FULL,TD4C_Ent3,3,High,168,557
37,42,Glucose_FULL,TD4C_Ent3,1,Low,28,84
38,42,Glucose_FULL,TD4C_Ent3,2,Medium,84,94
39,42,Glucose_FULL,TD4C_Ent3,3,High,94,1453
40,43,Albumin_FULL,TD4C_Ent3,1,Low,2,4.41
41,43,Albumin_FULL,TD4C_Ent3,2,Medium,4.41,4.61
42,43,Albumin_FULL,TD4C_Ent3,3,High,4.61,5.8
43,44,Creatinine_FULL,TD4C_Ent3,1,Low,0.2,0.6
44,44,Creatinine_FULL,TD4C_Ent3,2,Medium,0.6,0.69
45,44,Creatinine_FULL,TD4C_Ent3,3,High,0.69,15.4
