StateID,TemporalPropertyID,TemporalPropertyName,MethodName,BinID,BinLabel,BinFrom,BinTo
1,1,NewInsulin,TD4C_KL5,1,Low,7.5,7.5
2,1,NewInsulin,TD4C_KL5,2,Medium1,7.5,37.5
3,1,NewInsulin,TD4C_KL5,3,Medium2,37.5,37.5
4,1,NewInsulin,TD4C_KL5,4,Medium3,37.5,37.5
5,1,NewInsulin,TD4C_KL5,5,High,37.5,150
6,2,OldInsulin,TD4C_KL5,1,Low,25,25
7,2,OldInsulin,TD4C_KL5,2,Medium1,25,29.1666666666667
8,2,OldInsulin,TD4C_KL5,3,Medium2,29.1666666666667,37.5
9,2,OldInsulin,TD4C_KL5,4,Medium3,37.5,37.5
10,2,OldInsulin,TD4C_KL5,5,High,37.5,150
11,3,Oral,TD4C_KL5,1,Low,0.43,12.9
12,3,Oral,TD4C_KL5,2,Medium1,12.9,15
13,3,Oral,TD4C_KL5,3,Medium2,15,32.25
14,3,Oral,TD4C_KL5,4,Medium3,32.25,57.9
15,3,Oral,TD4C_KL5,5,High,57.9,231.6
16,4,BetaBlockers,TD4C_KL5,1,Low,0.33,15
17,4,BetaBlockers,TD4C_KL5,2,Medium1,15,17.64
18,4,BetaBlockers,TD4C_KL5,3,Medium2,17.64,19.8
19,4,BetaBlockers,TD4C_KL5,4,Medium3,19.8,33.5
20,4,BetaBlockers,TD4C_KL5,5,High,33.5,239.4
21,5,CCB,TD4C_KL5,1,Low,1,15.3
22,5,CCB,TD4C_KL5,2,Medium1,15.3,20.1
23,5,CCB,TD4C_KL5,3,Medium2,20.1,39.6
24,5,CCB,TD4C_KL5,4,Medium3,39.6,60
25,5,CCB,TD4C_KL5,5,High,60,270
26,6,Other,TD4C_KL5,1,Low,0.5,30
27,6,Other,TD4C_KL5,2,Medium1,30,33.75
28,6,Other,TD4C_KL5,3,Medium2,33.75,48
29,6,Other,TD4C_KL5,4,Medium3,48,60.7360000000001
30,6,Other,TD4C_KL5,5,High,60.7360000000001,377.2
31,7,Statins1,TD4C_KL5,1,Low,1,20.1
32,7,Statins1,TD4C_KL5,2,Medium1,20.1,20.1
33,7,Statins1,TD4C_KL5,3,Medium2,20.1,30
34,7,Statins1,TD4C_KL5,4,Medium3,30,37.24
35,7,Statins1,TD4C_KL5,5,High,37.24,480
36,8,Statins2,TD4C_KL5,1,Low,0.67,19.8
37,8,Statins2,TD4C_KL5,2,Medium1,19.8,20.1
38,8,Statins2,TD4C_KL5,3,Medium2,20.1,29.7
39,8,Statins2,TD4C_KL5,4,Medium3,29.7,30.15
40,8,Statins2,TD4C_KL5,5,High,30.15,80.4
41,9,Ace1,TD4C_KL5,1,Low,2.5,15
42,9,Ace1,TD4C_KL5,2,Medium1,15,15
43,9,Ace1,TD4C_KL5,3,Medium2,15,28
44,9,Ace1,TD4C_KL5,4,Medium3,28,112
45,9,Ace1,TD4C_KL5,5,High,112,373.52
46,39,HBA1C_FULL,TD4C_KL5,1,Low,3.9,6.17
47,39,HBA1C_FULL,TD4C_KL5,2,Medium1,6.17,6.46
48,39,HBA1C_FULL,TD4C_KL5,3,Medium2,6.46,6.6
49,39,HBA1C_FULL,TD4C_KL5,4,Medium3,6.6,8.3
50,39,HBA1C_FULL,TD4C_KL5,5,High,8.3,222.7
51,40,LDL_FULL,TD4C_KL5,1,Low,2.8,68.8
52,40,LDL_FULL,TD4C_KL5,2,Medium1,68.8,77
53,40,LDL_FULL,TD4C_KL5,3,Medium2,77,89
54,40,LDL_FULL,TD4C_KL5,4,Medium3,89,168
55,40,LDL_FULL,TD4C_KL5,5,High,168,328.39999
56,41,Cholesterol_FULL,TD4C_KL5,1,Low,64,145
57,41,Cholesterol_FULL,TD4C_KL5,2,Medium1,145,168
58,41,Cholesterol_FULL,TD4C_KL5,3,Medium2,168,227
59,41,Cholesterol_FULL,TD4C_KL5,4,Medium3,227,257
60,41,Cholesterol_FULL,TD4C_KL5,5,High,257,557
61,42,Glucose_FULL,TD4C_KL5,1,Low,28,89
62,42,Glucose_FULL,TD4C_KL5,2,Medium1,89,99
63,42,Glucose_FULL,TD4C_KL5,3,Medium2,99,168
64,42,Glucose_FULL,TD4C_KL5,4,Medium3,168,201
65,42,Glucose_FULL,TD4C_KL5,5,High,201,1453
66,43,Albumin_FULL,TD4C_KL5,1,Low,2,3.87
67,43,Albumin_FULL,TD4C_KL5,2,Medium1,3.87,4.2
68,43,Albumin_FULL,TD4C_KL5,3,Medium2,4.2,4.41
69,43,Albumin_FULL,TD4C_KL5,4,Medium3,4.41,4.7
70,43,Albumin_FULL,TD4C_KL5,5,High,4.7,5.8
71,44,Creatinine_FULL,TD4C_KL5,1,Low,0.2,0.68
72,44,Creatinine_FULL,TD4C_KL5,2,Medium1,0.68,0.81
73,44,Creatinine_FULL,TD4C_KL5,3,Medium2,0.81,0.91
74,44,Creatinine_FULL,TD4C_KL5,4,Medium3,0.91,1.01
75,44,Creatinine_FULL,TD4C_KL5,5,High,1.01,15.4
